model,horizon,rule,cut_distress,cut_safe,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,alarm_rate
altman_zdp,1,distress_only,1.1,2.6,58,14219,2,17937,0.004062478111648105,0.9666666666666667,0.5578119169050877,0.008090953477017507,0.558573379687112,0.4431648870126645
altman_zdp,1,distress_or_grey,1.1,2.6,59,19571,1,12585,0.0030056036678553235,0.9833333333333333,0.3913733051374549,0.0059928897917724735,0.39247578842811026,0.6093245592252297
altman_zp,1,distress_only,1.23,2.9,55,16570,5,15586,0.0033082706766917294,0.9166666666666666,0.48469958950118175,0.006592747977225053,0.4855040973429352,0.5160479264961509
altman_zp,1,distress_or_grey,1.23,2.9,59,27966,1,4190,0.002105263157894737,0.9833333333333333,0.13030227640253764,0.004201531066405555,0.1318909858455426,0.8699093618077973
altman_zdp,2,distress_only,1.1,2.6,151,14126,7,17932,0.010576451635497653,0.9556962025316456,0.5593611579013039,0.020921371666089365,0.5613049416439037,0.4431648870126645
altman_zdp,2,distress_or_grey,1.1,2.6,154,19476,4,12582,0.007845134997452879,0.9746835443037974,0.39247613700168443,0.0155649888821508,0.3953315122920288,0.6093245592252297
altman_zp,2,distress_only,1.23,2.9,141,16484,17,15574,0.008481203007518798,0.8924050632911392,0.48580697485806973,0.01680271703509504,0.4878010926247827,0.5160479264961509
altman_zp,2,distress_or_grey,1.23,2.9,156,27869,2,4189,0.005566458519179304,0.9873417721518988,0.1306694116913095,0.011070503495014726,0.13487087161658803,0.8699093618077973
altman_zdp,3,distress_only,1.1,2.6,244,14033,16,17923,0.0170904251593472,0.9384615384615385,0.5608649392915258,0.03356951227901218,0.5639123416935684,0.4431648870126645
altman_zdp,3,distress_or_grey,1.1,2.6,253,19377,7,12579,0.012888436067244014,0.9730769230769231,0.3936349981224183,0.025439919557566613,0.39831139806307425,0.6093245592252297
altman_zp,3,distress_only,1.23,2.9,231,16394,29,15562,0.013894736842105264,0.8884615384615384,0.4869821003880335,0.02736156351791531,0.4902222498137571,0.5160479264961509
altman_zp,3,distress_or_grey,1.23,2.9,255,27770,5,4186,0.009099018733273862,0.9807692307692307,0.13099261484541244,0.018030758352483647,0.13785075738763347,0.8699093618077973
altman_zdp,4,distress_only,1.1,2.6,338,13939,25,17914,0.023674441409259648,0.931129476584022,0.562396006655574,0.04617486338797814,0.5665507822200149,0.4431648870126645
altman_zdp,4,distress_or_grey,1.1,2.6,351,19279,12,12574,0.017880794701986755,0.9669421487603306,0.39475088688663545,0.03511228930125544,0.40119816240377454,0.6093245592252297
altman_zp,4,distress_only,1.23,2.9,321,16304,42,15549,0.01930827067669173,0.8842975206611571,0.48814868301258907,0.03779138215210737,0.49261236652594986,0.5160479264961509
altman_zp,4,distress_or_grey,1.23,2.9,355,27670,8,4183,0.012667261373773416,0.977961432506887,0.13132201048566855,0.02501056784556855,0.14086168363546064,0.8699093618077973
