architecture,horizon,group,time_step,step_index,mean_attention,n_windows,frac_step_observed,mean_cell_observed
transformer,1,true_positive,t-7,0,0.11754660308361053,8,1.0,0.8922413793103449
transformer,1,true_positive,t-6,1,0.11590370535850525,8,1.0,0.8922413793103449
transformer,1,true_positive,t-5,2,0.11743126809597015,8,1.0,0.8922413793103449
transformer,1,true_positive,t-4,3,0.11758708953857422,8,1.0,0.8836206896551724
transformer,1,true_positive,t-3,4,0.11422842741012573,8,1.0,0.9008620689655172
transformer,1,true_positive,t-2,5,0.11522151529788971,8,1.0,0.9051724137931034
transformer,1,true_positive,t-1,6,0.12788552045822144,8,1.0,0.8922413793103449
transformer,1,true_positive,t-0,7,0.17419585585594177,8,1.0,0.9051724137931034
transformer,1,true_negative,t-7,0,0.1220351979136467,32087,0.999314833847208,0.8751247099051614
transformer,1,true_negative,t-6,1,0.12065599113702774,32108,0.999968856083964,0.8800433007825714
transformer,1,true_negative,t-5,2,0.12003043293952942,32109,1.0,0.8832919334035683
transformer,1,true_negative,t-4,3,0.11844485253095627,32109,1.0,0.8850821716115688
transformer,1,true_negative,t-3,4,0.11701846122741699,32109,1.0,0.8862967843369729
transformer,1,true_negative,t-2,5,0.11898896098136902,32109,1.0,0.8858801002189739
transformer,1,true_negative,t-1,6,0.13003107905387878,32109,1.0,0.8851680858627026
transformer,1,true_negative,t-0,7,0.15279679000377655,32109,1.0,0.8838278235450153
transformer,1,all_positive,t-7,0,0.12178505212068558,60,1.0,0.8586206896551725
transformer,1,all_positive,t-6,1,0.12073405832052231,60,1.0,0.8672413793103448
transformer,1,all_positive,t-5,2,0.11790767312049866,60,1.0,0.8833333333333333
transformer,1,all_positive,t-4,3,0.11883024126291275,60,1.0,0.8804597701149425
transformer,1,all_positive,t-3,4,0.11646943539381027,60,1.0,0.8982758620689655
transformer,1,all_positive,t-2,5,0.11789869517087936,60,1.0,0.9045977011494253
transformer,1,all_positive,t-1,6,0.12888535857200623,60,1.0,0.903448275862069
transformer,1,all_positive,t-0,7,0.15748949348926544,60,1.0,0.8936781609195402
