model,label,family,horizon,val_roc_auc,val_pr_auc,n,n_pos,base_rate,roc_auc,pr_auc,brier,threshold,tn,fp,fn,tp,precision,recall,specificity,f1,balanced_accuracy,accuracy,alarm_rate,cost_1to1,cost_1to10,cost_1to20,cost_1to50,tuned_val_pr_auc,seconds,params
altman_zdp,"Altman Z'' (1995, four-variable)",formula,1,0.8111952968011025,0.004691613456134727,32216,60,0.001862428606903402,0.8450366961064809,0.006583322651360933,1237562385009.5618,2.015572533462097,23643,8513,8,52,0.0060712200817279625,0.8666666666666667,0.7352593606169922,0.012057971014492753,0.8009630136418294,0.7355040973429352,0.26586168363546064,0.2644959026570648,0.2667308169853489,0.26921405512788676,0.27666376955550037,,,
altman_zp,"Altman Z' (1983, five-variable)",formula,1,0.7719582417040004,0.0038914997077135072,32216,60,0.001862428606903402,0.7935802545921964,0.005742374195197504,83540864661.84813,-0.047710612366009444,23338,8818,13,47,0.005301748448956571,0.7833333333333333,0.7257743500435377,0.01053221288515406,0.7545538416884355,0.7258815495406009,0.27517382666997764,0.27411845045939903,0.2777501862428607,0.2817854482244847,0.29389123416935686,,,
ohlson_o,Ohlson O-score (1980),formula,1,0.826034377723713,0.005151963975376173,32216,60,0.001862428606903402,0.8643296222581582,0.007695395747176412,242727.48591536298,-2.3698150904533035,27143,5013,21,39,0.007719714964370546,0.65,0.8441037442467969,0.015258215962441313,0.7470518721233985,0.8437422398808045,0.15681648870126644,0.15625776011919543,0.16212441023094115,0.16864291035510307,0.18819841072758878,,,
zmijewski,Zmijewski (1984),formula,1,0.8423854238243627,0.006373744121600883,32216,60,0.001862428606903402,0.87441586847452,0.008951525269690423,635769.5944557886,2.2859596014930856,27319,4837,11,49,0.01002865329512894,0.8166666666666667,0.8495770618236099,0.019813991103922363,0.8331218642451383,0.8495157685622051,0.15166376955550037,0.15048423143779488,0.1535572386391855,0.15697169108517506,0.16721504842314378,,,
altman_zdp,"Altman Z'' (1995, four-variable)",formula,2,0.8072782722426118,0.008630499388658439,32216,158,0.004904395331512292,0.8298775715850464,0.015178449414873185,1237562385009.4321,2.015572533462097,23625,8433,26,132,0.015411558669001752,0.8354430379746836,0.7369455362156092,0.03026481715006305,0.7861942870951464,0.7374286069034021,0.26586168363546064,0.26257139309659794,0.26983486466352125,0.27790538862676933,0.30211696051651354,,,
altman_zp,"Altman Z' (1983, five-variable)",formula,2,0.7653203677851057,0.007203369865875171,32216,158,0.004904395331512292,0.7855664693186638,0.013732923926404874,83540864661.817,0.024942199272109944,23560,8498,38,120,0.013924344395451382,0.759493670886076,0.7349179611953335,0.027347310847766638,0.7472058160407047,0.7350384901912094,0.26750682890489197,0.2649615098087907,0.27557735286814006,0.2873727340451949,0.32275887757635957,,,
ohlson_o,Ohlson O-score (1980),formula,2,0.8191470103052243,0.009547867712699613,32216,158,0.004904395331512292,0.8534693052386851,0.017202277540285346,242727.48022397872,-3.694593551717835,25254,6804,27,131,0.018889689978370584,0.8291139240506329,0.7877596855699045,0.0369378260256591,0.8084368048102687,0.7879625031040477,0.21526570648125154,0.21203749689595233,0.2195803327539111,0.22796126148497642,0.25310404767817235,,,
zmijewski,Zmijewski (1984),formula,2,0.8308611598343734,0.011281762237325209,32216,158,0.004904395331512292,0.863124273962304,0.01965458463233601,635769.5548504542,2.2859596014930856,27288,4770,42,116,0.02374130167826443,0.7341772151898734,0.8512071869736103,0.045995241871530534,0.7926922010817419,0.8506332257263471,0.15166376955550037,0.14936677427365283,0.16110007449714428,0.17413707474546808,0.21324807549043953,,,
altman_zdp,"Altman Z'' (1995, four-variable)",formula,3,0.7995054431631525,0.010902271088723462,32216,260,0.008070523963248075,0.8224357770780979,0.023338811336589285,1237562385009.3096,2.015572533462097,23604,8352,47,213,0.024868651488616462,0.8192307692307692,0.7386406308674427,0.04827195467422096,0.778935700049106,0.7392910355103054,0.26586168363546064,0.26070896448969455,0.27383908616836355,0.28842811025577353,0.33219518251800345,,,
altman_zp,"Altman Z' (1983, five-variable)",formula,3,0.7607276197579699,0.009299949760490585,32216,260,0.008070523963248075,0.7792884687599295,0.02147063764994669,83540864661.78853,0.07759958098371844,23680,8276,63,197,0.023250324560368227,0.7576923076923077,0.7410189009888597,0.04511622581014542,0.7493556043405837,0.7411534641172088,0.26300595977154206,0.25884653588279116,0.2764464862180283,0.296001986590514,0.3546684877079712,,,
