model,horizon,aggregation,roc_auc,pr_auc,pr_auc_value_cluster_ci_low,pr_auc_value_cluster_ci_high,roc_auc_value_cluster_ci_low,roc_auc_value_cluster_ci_high,threshold,precision,recall,specificity,f1,step,cause,pr_auc_diff,pr_auc_cluster_ci_low,pr_auc_cluster_ci_high,pr_auc_cluster_p,pr_auc_window_level_ci_low,pr_auc_window_level_ci_high,roc_auc_diff,roc_auc_cluster_ci_low,roc_auc_cluster_ci_high,roc_auc_cluster_p,roc_auc_window_level_ci_low,roc_auc_window_level_ci_high,n_clusters,delong_window_level_diff,delong_window_level_ci_low,delong_window_level_ci_high,delong_window_level_p,mcnemar_window_level_b,mcnemar_window_level_c,mcnemar_window_level_p,pr_auc_cluster_excludes_zero,roc_auc_cluster_excludes_zero
A_zdp,1,single fit,0.8450366961064808,0.006583322651360933,0.004778696349356679,0.009847201709660478,0.8115004742047919,0.8770533717527738,2.0155725479125977,0.0060712200817279625,0.8666666666666667,0.7352593606169922,0.012057971014492753,,,,,,,,,,,,,,,,,,,,,,,,
B_levels,1,single fit,0.8284394825227017,0.008092897780106802,0.005498194229529372,0.012530695616600616,0.7749617133770925,0.8751988671311054,0.5996605157852173,0.009361497839654344,0.65,0.8716569225027988,0.018457169900615238,A_zdp -> B_levels,coefficient drift,0.001509575128745869,-0.00029053595023872513,0.0037320100943555815,0.091,-0.00013961654899741674,0.003604740410640939,-0.01659721358377908,-0.06599881473277378,0.02418420814874937,0.475,-0.06207281170958244,0.023866048845212946,3391.0,-0.01659721358377908,-0.06084678762192095,0.02765236045436279,0.4622499831386121,984.0,5357.0,0.0,False,False
B_tensor,1,single fit,0.8058993655927355,0.00815897950266422,0.0053409424412547936,0.012640247578203465,0.7462505828862578,0.8597849971542221,0.6472625136375427,0.011519716437749225,0.43333333333333335,0.9306194800348302,0.022442813983599482,B_levels -> B_tensor,preprocessing (annualised levels to z-scored quarterly ratios),6.60817225574175e-05,-0.003198922658785273,0.002323103086805449,0.928,-0.003067649169413146,0.0023845525710511142,-0.02254011692996627,-0.06030153449551178,0.007545583298287964,0.202,-0.06295744443753368,0.007547127026578681,3391.0,-0.02254011692996638,-0.058599465551233486,0.013519231691300725,0.2205217761997944,29.0,1912.0,0.0,False,False
B_mlp_t0,1,ensemble of 5 seeds,0.8342284488120413,0.0327698266630274,0.014550962002476726,0.08488273229131127,0.7748953883977525,0.8923510117991892,0.4289693236351013,0.13157894736842105,0.08333333333333333,0.9989737529543475,0.1020408163265306,B_tensor -> B_mlp_t0,nonlinearity,0.02461084716036318,0.0077949404730158324,0.07587917705773835,0.0,0.008275254740816657,0.07080095308275736,0.02832908321930583,-0.006487328661272435,0.059824500577169655,0.11,-0.005674031803292214,0.06128175923622345,3391.0,0.02832908321930583,-0.005971637528058238,0.0626298039666699,0.10550300244208535,26.0,2203.0,0.0,True,False
C_lstm,1,ensemble of 5 seeds,0.8740815607247999,0.10767910237310818,0.051322225383155236,0.1943849340955923,0.8197176627930907,0.9216936381962719,0.7694160342216492,0.2926829268292683,0.2,0.9990981465356388,0.2376237623762376,B_mlp_t0 -> C_lstm,the time axis,0.07490927571008078,0.014365325787172168,0.14862399049486105,0.017,0.01625973165306357,0.15400896056003746,0.03985311191275864,-0.0011245899243170793,0.0843366532549292,0.063,-0.0009838366090308942,0.08749074822739131,3391.0,0.03985311191275864,-0.004878057984444427,0.08458428180996172,0.08077195213903701,27.0,38.0,0.2148469474056455,True,False
D_lstm,1,ensemble of 5 seeds,0.8625020732263549,0.08465794680966367,0.0318352047449969,0.16643783125501643,0.8123669867277987,0.9095555976697624,0.5959781408309937,0.21621621621621623,0.13333333333333333,0.9990981465356388,0.16494845360824745,C_lstm -> D_lstm,the feature-set expansion,-0.023021155563444515,-0.10122771595959061,0.052251603454555845,0.567,-0.10527834634501314,0.052067008312593976,-0.011579487498445062,-0.048847861966291824,0.0228799802388284,0.517,-0.04874598312393734,0.022094425094331745,3391.0,-0.011579487498445173,-0.047378990620587924,0.024220015623697577,0.5261082859367598,32.0,28.0,0.6985353583033387,False,False
D_transformer,1,ensemble of 5 seeds,0.8376435709250736,0.10108640796144011,0.03648721823148489,0.18953910090143658,0.7845656017607952,0.8902161493685027,0.2310287058353424,0.14545454545454545,0.13333333333333333,0.9985383754198284,0.1391304347826087,D_lstm -> D_transformer,architecture,0.016428461151776444,-0.021223688256929125,0.05319198983082821,0.456,-0.022155598131645828,0.06032934951550574,-0.024858502301281282,-0.06920307445869553,0.01725260054206037,0.285,-0.06865972394991082,0.018241696728448924,3391.0,-0.02485850230128117,-0.06840258882695825,0.01868558422439591,0.26317995354897616,42.0,24.0,0.03638886620070851,False,False
A_zdp,2,single fit,0.8298775715850464,0.015178449414873188,0.011776743926815325,0.019785461789416814,0.8015772725058651,0.8574851329379457,2.0155725479125977,0.015411558669001752,0.8354430379746836,0.7369455362156092,0.03026481715006305,,,,,,,,,,,,,,,,,,,,,,,,
B_levels,2,single fit,0.8048369213711541,0.0163923081280663,0.012174783115469871,0.022600339917562415,0.7614001124332263,0.8411744035020026,0.6167588829994202,0.020738974970202623,0.5506329113924051,0.8718572587185726,0.0399724328049621,A_zdp -> B_levels,coefficient drift,0.0012138587131931104,-0.0018598377630323058,0.004537831313254438,0.385,-0.0009724058512904632,0.0037978019779843584,-0.025040650213892235,-0.06564089204543871,0.00959842487792603,0.16,-0.05591937398275762,0.004090099550577223,3391.0,-0.025040650213892568,-0.05529343105975288,0.005212130631967744,0.10474134857312359,1020.0,5300.0,0.0,False,False
B_tensor,2,single fit,0.8032659949411313,0.017384863629035345,0.012639538741126184,0.024115054617047372,0.7602842645061755,0.8404863308223655,0.6234701871871948,0.018797814207650275,0.5443037974683544,0.8599725497535716,0.036340587365307424,B_levels -> B_tensor,preprocessing (annualised levels to z-scored quarterly ratios),0.0009925555009690466,-0.0008139452999342108,0.00307910320779669,0.285,-0.00039985220752096815,0.0026746141425705856,-0.0015709264300228787,-0.021023546713724625,0.013682890489477224,0.933,-0.015713829798995643,0.011380638415656359,3391.0,-0.0015709264300226566,-0.014856391135735123,0.01171453827568981,0.8167291081990047,918.0,536.0,1.655847710726448e-23,False,False
B_mlp_t0,2,ensemble of 5 seeds,0.8862951920214233,0.055759430540808834,0.03342025780606192,0.10408107218996743,0.8540882143114445,0.914306277451386,0.6740327477455139,0.102803738317757,0.06962025316455696,0.997005427662362,0.0830188679245283,B_tensor -> B_mlp_t0,nonlinearity,0.03837456691177349,0.017284910569040943,0.08541245987822929,0.0,0.020335096025723202,0.07479704188537054,0.083029197080292,0.05693946677137522,0.11290352152995732,0.0,0.059043029011498806,0.10842214338963164,3391.0,0.08302919708029188,0.05819089233373103,0.10786750182685273,5.68686373433542e-11,81.0,4399.0,0.0,True,True
C_lstm,2,ensemble of 5 seeds,0.8819558458521777,0.12707999191637112,0.0752179176978058,0.19608057064088116,0.8437466383582791,0.9138102167108452,0.6242650747299194,0.16744186046511628,0.22784810126582278,0.994416370328779,0.19302949061662197,B_mlp_t0 -> C_lstm,the time axis,0.07132056137556228,0.026808499413518858,0.11345835532512005,0.0,0.0362256965236768,0.11257735953545193,-0.004339346169245584,-0.025599315743031335,0.015521257082320225,0.613,-0.022808982591679256,0.015280107416067822,3391.0,-0.004339346169245362,-0.022964483833661842,0.014285791495171118,0.6479306206999635,157.0,99.0,0.0003673399084747273,True,False
D_lstm,2,ensemble of 5 seeds,0.8663170629815738,0.06827470848886817,0.03453560240721347,0.12139943066553364,0.8305956606619533,0.8971365295327436,0.6411927938461304,0.20833333333333334,0.06329113924050633,0.9988146484496849,0.0970873786407767,C_lstm -> D_lstm,the feature-set expansion,-0.05880528342750295,-0.11860559558717025,-0.003814508320152935,0.034,-0.10944213297535123,-0.014154501931320857,-0.01563878287060383,-0.04214185665114922,0.01037125351265148,0.246,-0.037833360380828754,0.0065942731568019225,3391.0,-0.01563878287060405,-0.03705543163282669,0.005777865891618585,0.1523736597101202,59.0,174.0,8.118297641394515e-14,True,False
D_transformer,2,ensemble of 5 seeds,0.8605565387418846,0.09962090443600853,0.051052024364319194,0.16791873182187486,0.8235811463632361,0.8959707582290426,0.44982394576072693,0.20588235294117646,0.08860759493670886,0.9983155530600786,0.12389380530973454,D_lstm -> D_transformer,architecture,0.03134619594714036,-0.007697056461951165,0.08179822707303191,0.133,-0.0028098903784686624,0.0689104687288115,-0.005760524239689202,-0.03317816262406639,0.02232370206043832,0.716,-0.02743555786150261,0.015374551544629213,3391.0,-0.00576052423968898,-0.026612919229474293,0.015091870750096333,0.5882010614687383,51.0,39.0,0.24625169969252364,False,False
A_zdp,3,single fit,0.8224357770780978,0.023338811336589285,0.01849057958536998,0.029622667442682063,0.7953065844808441,0.8495729712708765,2.0155725479125977,0.024868651488616462,0.8192307692307692,0.7386406308674427,0.04827195467422096,,,,,,,,,,,,,,,,,,,,,,,,
B_levels,3,single fit,0.7913574674793225,0.024639025278345297,0.01879469246860868,0.03325761302141369,0.7545293173807529,0.8239572914182425,0.6218064427375793,0.031332217172925135,0.5038461538461538,0.8732632369508073,0.058995721684305336,A_zdp -> B_levels,coefficient drift,0.0013002139417560114,-0.0030318134062172976,0.006360542685654592,0.513,-0.0013514517159553688,0.004476551458873981,-0.031078309598775333,-0.06914509895611914,0.003902392147108918,0.079,-0.05580195906390508,-0.007581789142763567,3391.0,-0.031078309598775333,-0.05605789454093619,-0.006098724656614478,0.014748931051287497,1056.0,5276.0,0.0,False,False
B_tensor,3,single fit,0.790382569302021,0.026612746161110257,0.019839699585735966,0.03693394190113897,0.752083259349357,0.823527614392097,0.6504486203193665,0.03144820295983087,0.4576923076923077,0.885311052697459,0.05885262116716123,B_levels -> B_tensor,preprocessing (annualised levels to z-scored quarterly ratios),0.00197372088276496,-0.0005785310720904832,0.005417837601405703,0.128,0.00022323409675121912,0.004583866154194132,-0.0009748981773014531,-0.018555263639960344,0.014129870180425434,0.971,-0.011932239160576497,0.009507267203943978,3391.0,-0.0009748981773013421,-0.01190442533571888,0.009954628981116195,0.8612163722083908,434.0,807.0,4.574750808491362e-26,False,False
B_mlp_t0,3,ensemble of 5 seeds,0.8760903213071819,0.06548057361805089,0.045078281647215564,0.10235648948811948,0.8482205449906494,0.9005855958877347,0.8201708793640137,0.21052631578947367,0.03076923076923077,0.9990612091625986,0.053691275167785234,B_tensor -> B_mlp_t0,nonlinearity,0.03886782745694063,0.019534878404662583,0.07128499467353262,0.0,0.024644680255276413,0.06408495984363084,0.0857077520051609,0.0656911644881237,0.10883052845694151,0.0,0.06941531986288843,0.10323218463849321,3391.0,0.08570775200516079,0.06919968636021946,0.10221581765010211,2.5409085230232952e-24,112.0,3636.0,0.0,True,True
C_lstm,3,ensemble of 5 seeds,0.8917511578420327,0.12876318446751664,0.08418925723877763,0.18538080487165445,0.8638361421343212,0.9162705700619331,0.8475046157836914,0.3023255813953488,0.1,0.9981224183251971,0.15028901734104047,B_mlp_t0 -> C_lstm,the time axis,0.06328261084946575,0.02771146649473039,0.1003264342434321,0.0,0.03419678294557026,0.09378760367795477,0.01566083653485084,0.002394211688956008,0.027739491129543766,0.022,0.0062130321018323,0.02538179299421314,3391.0,0.01566083653485084,0.005765121447479624,0.02555655162222206,0.0019233824373663835,59.0,47.0,0.2853336023493621,True,True
D_lstm,3,ensemble of 5 seeds,0.7756761701185284,0.0383670711472654,0.023813115029182288,0.06612052146704239,0.7376636042241734,0.812041864324095,0.6003426313400269,0.14285714285714285,0.019230769230769232,0.9990612091625986,0.03389830508474577,C_lstm -> D_lstm,the feature-set expansion,-0.09039611332025124,-0.1323640039704895,-0.05125344296533716,0.0,-0.12642135192967613,-0.05840749802909427,-0.11607498772350433,-0.15229754304625318,-0.07962582389478204,0.0,-0.1403857317032072,-0.09144313816112537,3391.0,-0.11607498772350433,-0.14075587677269122,-0.09139409867431744,3.033387718969229e-20,51.0,60.0,0.44765733086275317,True,True
D_transformer,3,ensemble of 5 seeds,0.8681399664923886,0.0901121010593102,0.053830733076265035,0.14821311585802144,0.8373709958527297,0.8956606099711882,0.707309365272522,0.30357142857142855,0.06538461538461539,0.9987795719113781,0.10759493670886076,D_lstm -> D_transformer,architecture,0.0517450299120448,0.022645790135211237,0.09542511875199404,0.0,0.03037253050661651,0.0796287432463534,0.09246379637386015,0.06039939661844572,0.12635836314034027,0.0,0.06972970346245307,0.11428534246608303,3391.0,0.09246379637386015,0.06975520129978666,0.11517239144793365,1.4575377657944417e-15,38.0,41.0,0.8219655979326043,True,True
A_zdp,4,single fit,0.8122455435995192,0.030493550660860586,0.024234346737427373,0.038242562552366965,0.7846460852768805,0.8409736548816766,2.0155725479125977,0.03339171044950379,0.7878787878787878,0.7400872759237749,0.06406810035842293,,,,,,,,,,,,,,,,,,,,,,,,
B_levels,4,single fit,0.7745995529221315,0.031537243628615416,0.024238351921079652,0.04227944648378462,0.7376561231029362,0.8070353561462223,0.6228172779083252,0.03975243989526303,0.46005509641873277,0.8733557278749254,0.07318141980718668,A_zdp -> B_levels,coefficient drift,0.00104369296775483,-0.004409941312941819,0.007965141247984059,0.669,-0.002078798391455129,0.004737385893911543,-0.03764599067738772,-0.07759380778192648,-0.0009973550386149796,0.043,-0.06011266005104892,-0.015262812191922713,3391.0,-0.03764599067738772,-0.06029054809050824,-0.015001433264267196,0.0011204654143219244,1119.0,5245.0,0.0,False,True
B_tensor,4,single fit,0.773125754423363,0.03437332574831887,0.025799593945015676,0.048452291869908966,0.73486399055561,0.8073823855572089,0.6644864082336426,0.041319857312722946,0.38292011019283745,0.8987536495777477,0.0745908237188087,B_levels -> B_tensor,preprocessing (annualised levels to z-scored quarterly ratios),0.002836082119703452,-0.0008664675625846719,0.008258010498821465,0.121,0.0007265660398929045,0.006071950089789256,-0.0014737984987684971,-0.019248949716026195,0.014159931212090696,0.915,-0.011856908271546007,0.008100298296954543,3391.0,-0.001473798498768386,-0.011715679330118797,0.008768082332582024,0.7779149423324415,245.0,1026.0,4.143466954287674e-106,False,False
B_mlp_t0,4,ensemble of 5 seeds,0.8698638347180085,0.0742482926529622,0.05218909770504367,0.1068636053712492,0.845296619213596,0.8914685001256404,0.7997679710388184,0.11139896373056994,0.1184573002754821,0.9892317835054782,0.11481975967957278,B_tensor -> B_mlp_t0,nonlinearity,0.03987496690464334,0.02039383041246905,0.06654106164741451,0.001,0.026379150987209204,0.05985646276837307,0.09673808029464559,0.07570569466501736,0.12038439312995591,0.0,0.08184563554219754,0.1112876643039707,3391.0,0.0967380802946457,0.08186961219614436,0.11160654839314704,3.037310871930462e-37,165.0,2951.0,0.0,True,True
C_lstm,4,ensemble of 5 seeds,0.8766467585816698,0.12299865368623317,0.08537444249803262,0.17121105622555488,0.8483080600972867,0.9021902363156805,0.869012176990509,0.24305555555555555,0.09641873278236915,0.9965780303268138,0.1380670611439842,B_mlp_t0 -> C_lstm,the time axis,0.04875036103327096,0.019404889996457557,0.0829138343280034,0.001,0.025884438660890054,0.07525713176216545,0.006782923863661305,-0.0062491269928012455,0.018968008251566706,0.306,-0.002302375564955292,0.0164000233856648,3391.0,0.006782923863661194,-0.0026384133815886366,0.016204261108911024,0.15822021527591923,79.0,305.0,1.6250963469599355e-30,True,False
D_lstm,4,ensemble of 5 seeds,0.7684381567218349,0.04656798684403461,0.03133608395812706,0.07310076841519324,0.7314713323661526,0.8051290631720478,0.5307391285896301,0.15476190476190477,0.03581267217630854,0.9977710105798512,0.05816554809843401,C_lstm -> D_lstm,the feature-set expansion,-0.07643066684219856,-0.11648192862913494,-0.04116408905121544,0.0,-0.10882126119261458,-0.05035091239366638,-0.10820860185983494,-0.14189622026560836,-0.0730584583645815,0.0,-0.1302415132047277,-0.08708613362399369,3391.0,-0.10820860185983494,-0.1301649636246937,-0.08625224009497619,4.485463818646037e-22,92.0,108.0,0.2888443663464818,True,True
