arch,horizon,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,recall_mean,recall_std,specificity_mean,specificity_std,precision_mean,precision_std,accuracy_mean,accuracy_std,cost_1to1_mean,cost_1to1_std,cost_1to10_mean,cost_1to10_std,cost_1to20_mean,cost_1to20_std,cost_1to50_mean,cost_1to50_std,n_seeds,n_params,epochs_mean,seconds_total,roc_auc_ensemble,pr_auc_ensemble,f1_ensemble,recall_ensemble,specificity_ensemble,precision_ensemble,accuracy_ensemble,cost_1to1_ensemble,cost_1to10_ensemble,cost_1to20_ensemble,cost_1to50_ensemble,aggregation_note
bilstm,1,0.705897499689016,0.07030143898615175,0.059115620257619385,0.027230832999143615,0.09042520304657835,0.03352253992723669,0.07999999999999999,0.04314059701848262,0.9986316706057968,0.0016265085088211244,0.18589698437156063,0.16043715508941278,0.9969207847032531,0.0015556513356527228,0.003079215296746958,0.0015556513356527412,0.018500124161907126,0.0010297300978022342,0.035634467345418426,0.0008809700736477764,0.08703749689595233,0.0027694820631915243,5,52801,19.6,112.1136748000281,0.7744417838039557,0.06231289104322307,0.07894736842105264,0.05,0.9995957208608036,0.1875,0.9978271666252794,0.002172833374720636,0.018096597963744722,0.03578966972932704,0.088868885026074,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
bilstm,2,0.7322834561723963,0.02106340127375957,0.03393823560717587,0.009035561662301864,0.0714402275716801,0.02153232270383134,0.05189873417721519,0.014432600317710608,0.9979349928255038,0.0009405746918577337,0.12771991197383764,0.06521881854174062,0.9932952570151479,0.0009425270952749698,0.006704742984852246,0.0009425270952749552,0.04855351378197169,0.001204274493829795,0.09505214800099329,0.0017397072678430308,0.23454805065805812,0.0037104991877667205,5,52801,25.0,142.31615469997632,0.7437662433042642,0.05403601466052662,0.061224489795918366,0.0379746835443038,0.9990018092207873,0.15789473684210525,0.994288552272163,0.005711447727837099,0.048174819965234664,0.09535634467345419,0.23690091879811273,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
bilstm,3,0.725285043376951,0.011895876724132365,0.03340794451336964,0.005211070375214416,0.05221515519115556,0.012049141068855818,0.036923076923076927,0.011080661762221486,0.9970271623482289,0.0011252443732860647,0.09889359278625459,0.03378072469705123,0.9892786193195928,0.0010605218632362236,0.01072138068040725,0.0010605218632362505,0.08067419915569904,0.0008685788787952081,0.15839955301713435,0.0013647223700633657,0.3915756146014403,0.0038448865163684116,5,52801,28.6,163.15961780003272,0.7477623679674937,0.039096041852237036,0.06043956043956043,0.04230769230769231,0.9970897484040556,0.10576923076923077,0.9893841569406506,0.010615843059349392,0.08017755152719146,0.15746833871368265,0.3893407002731562,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
bilstm,4,0.703719228802352,0.0484338717517592,0.035269859514811944,0.0067086730583935566,0.042908642824187694,0.03154104156589183,0.030303030303030304,0.025021903752871832,0.9966470976046212,0.0015169288113241967,0.08277414855094502,0.03275774060420907,0.9857586292525454,0.0012413086276907709,0.014241370747454681,0.0012413086276908186,0.1125776011919543,0.0015221548475245997,0.22184007946362055,0.0042757848337547115,0.5496275142786193,0.012710864892821963,5,52801,31.0,176.87329120002687,0.756602363872123,0.04610416873807759,0.03037974683544304,0.01652892561983471,0.999183750353185,0.1875,0.9881114973926,0.011888502607400049,0.11162155450707723,0.22243605661782964,0.5548795629500869,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
cnn_lstm_attn,1,0.7616673922958908,0.06734600311326668,0.03977347720238853,0.021107754810665923,0.06066647950213241,0.036117579296602066,0.07333333333333333,0.06078194176270156,0.9978417713645976,0.0023599563919048474,0.10074644981187038,0.09811331839746021,0.9961199404022846,0.002255726632607928,0.0038800595977154214,0.002255726632607917,0.019412714179289796,0.001448562973717947,0.03667121926992799,0.001100427587212339,0.08844673454184257,0.0037318089669416406,5,31073,23.4,417.98667160002515,0.8356216569225028,0.05633708396950723,0.10126582278481011,0.13333333333333333,0.9972011444209479,0.08163265306122448,0.9955922522969953,0.004407747703004718,0.018934690836851256,0.03507573876334741,0.08349888254283586,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
cnn_lstm_attn,2,0.8156764124517982,0.03975095192375243,0.03887400814140151,0.012479555265337861,0.05258096524918845,0.014616628274350438,0.035443037974683546,0.009598576511457658,0.9984403269074802,0.0006524580654860324,0.11199797467632262,0.045210120152342874,0.9937174074993791,0.0006450148336726126,0.00628259250062081,0.0006450148336725987,0.04885771045443258,0.0007523714702968021,0.09616339706977899,0.0010741529968337586,0.23808045691581822,0.0023614235247552346,5,31073,24.8,436.70968700002413,0.8632638548327359,0.04195417511948708,0.06334841628959274,0.04430379746835443,0.9982531661363778,0.1111111111111111,0.9935746213061832,0.006425378693816737,0.048609386640178796,0.09548050658058108,0.23609386640178792,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
cnn_lstm_attn,3,0.7892129201690785,0.019716449729536123,0.03853320545817132,0.006160663489487929,0.05719068486790411,0.016765184850915,0.04692307692307692,0.024537135242671662,0.995769182626111,0.002894934908625965,0.08797999576325137,0.01688865890930175,0.9881114973926,0.0026809162216903286,0.01188850260740005,0.0026809162216903434,0.0811149739259995,0.0010904886618412274,0.15803327539111,0.001405485915921972,0.38878817978644153,0.0071688181052243,5,31073,28.4,498.0096472000005,0.8249791781006576,0.04869537533441142,0.04519774011299436,0.03076923076923077,0.9973087995994493,0.0851063829787234,0.9895083188477775,0.010491681152222498,0.0808914824931711,0.15911348398311398,0.39377948845294264,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
cnn_lstm_attn,4,0.7758124248279307,0.02197190892356173,0.043957988771362616,0.0059863391432279775,0.05979791149237941,0.024768875393172407,0.0440771349862259,0.019381883305055494,0.9952845885787838,0.0012334771551765935,0.09595334016774279,0.039586844818702706,0.9845666749441271,0.0011335937922767594,0.01543332505587286,0.0011335937922768093,0.11237273404519495,0.001938154047258544,0.22008318847777503,0.003945157899583802,0.5432145517755153,0.0104028998499832,5,31073,26.8,469.2014607999881,0.8159390775756297,0.05992988862714499,0.10526315789473684,0.08539944903581267,0.993878127648887,0.13716814159292035,0.9836416687360318,0.016358331263968216,0.10910727588775763,0.21216165880307922,0.521324807549044,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
lstm,1,0.8329006509930755,0.03029474371816683,0.06493962462543863,0.013792001658755437,0.10242375183995955,0.01833899336809997,0.09333333333333334,0.03456073558887953,0.9986627690011195,0.001053909889465759,0.15018759018759018,0.05994202635699309,0.9969766575614601,0.0009946523508067998,0.003023342438539856,0.000994652350806819,0.018220759870871617,0.0005539659888743086,0.03510677924012913,0.0005794684226035035,0.08576483734790166,0.002322545467087202,5,37409,16.4,261.05315699998755,0.8625020732263549,0.08465794680966367,0.16494845360824745,0.13333333333333333,0.9990981465356388,0.21621621621621623,0.9974857213806804,0.0025142786193195926,0.01704122175316613,0.03318226967966228,0.08160541345915073,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
lstm,2,0.8044688780067141,0.05576399009960457,0.044915950633043225,0.015281076230758507,0.0648274230850877,0.025954597896054265,0.04683544303797468,0.02264372635442825,0.9982718822134882,0.001065520441000108,0.1252792423786004,0.045337126915732336,0.9936056617829649,0.0009737017097937759,0.006394338217035014,0.0009737017097937749,0.048466600446982866,0.0006876709215817229,0.09521355848025825,0.0015126620227259688,0.23545443258008442,0.004746940457279233,5,37409,25.6,407.2983900999825,0.8663170629815738,0.06827470848886817,0.0970873786407767,0.06329113924050633,0.9988146484496849,0.20833333333333334,0.9942264713185994,0.005773528681400546,0.04711944375465607,0.09305934939160665,0.2308790663024584,_mean/_std = per-seed metrics averaged; _ensemble = metric of the seed-averaged prediction
