horizon,model_a,model_b,a_pr_auc,b_pr_auc,a_aggregation,b_aggregation,pr_auc_diff,pr_auc_cluster_ci_low,pr_auc_cluster_ci_high,pr_auc_cluster_p,pr_auc_window_level_ci_low,pr_auc_window_level_ci_high,roc_auc_diff,roc_auc_cluster_ci_low,roc_auc_cluster_ci_high,roc_auc_cluster_p,roc_auc_window_level_ci_low,roc_auc_window_level_ci_high,n_clusters,delong_window_level_diff,delong_window_level_ci_low,delong_window_level_ci_high,delong_window_level_p,mcnemar_window_level_b,mcnemar_window_level_c,mcnemar_window_level_p,pr_auc_cluster_excludes_zero
1,xgboost,transformer,0.15946312635494841,0.10108640796144011,single fit,ensemble of 5 seeds,-0.0583767183935083,-0.12682624509692125,-0.0063186890001945195,0.027,-0.13241298548771863,0.0032135477808593158,-0.030673383920056363,-0.08916660759184906,0.02857481438851232,0.327,-0.09237383121864243,0.030182793776174374,3391,-0.030673383920056363,-0.09122761297934376,0.02988084513923104,0.3208034925389882,45,73,0.012935088125205411,True
1,xgboost,C_lstm,0.15946312635494841,0.10767910237310818,single fit,ensemble of 5 seeds,-0.05178402398184023,-0.12533052924665672,0.014392442846875231,0.13,-0.12466595068735493,0.01749736572299052,0.005764605879669982,-0.033381513981487955,0.043330850584943785,0.751,-0.03347064570634819,0.04414515694323511,3391,0.005764605879669982,-0.03296226424263459,0.044491476001974554,0.7704806290146647,21,71,3.245492193302375e-07,False
1,transformer,lstm,0.10108640796144011,0.08465794680966367,ensemble of 5 seeds,ensemble of 5 seeds,-0.016428461151776444,-0.053191989830828214,0.021223688256929076,0.456,-0.06032934951550582,0.022155598131645828,0.024858502301281282,-0.017252600542060396,0.0692030744586955,0.285,-0.018241696728448935,0.06865972394991082,3391,0.02485850230128117,-0.01868558422439591,0.06840258882695825,0.26317995354897616,24,42,0.03638886620070851,False
1,xgboost,lstm,0.15946312635494841,0.08465794680966367,single fit,ensemble of 5 seeds,-0.07480517954528475,-0.14400822339017813,-0.016708334265109342,0.005,-0.14246320605352428,-0.016573691312693883,-0.005814881618775081,-0.04320583407177877,0.031767303649852925,0.755,-0.04169644338018835,0.03091588661525067,3391,-0.005814881618775192,-0.042683239560296765,0.03105347632274638,0.757225877365638,25,71,4.373522667890802e-06,True
1,transformer,C_lstm,0.10108640796144011,0.10767910237310818,ensemble of 5 seeds,ensemble of 5 seeds,0.006592694411668071,-0.06770458561827795,0.08839344965985306,0.817,-0.06355451688623462,0.08845475473031188,0.036437989799726345,-0.010419336829190062,0.08245586398533006,0.133,-0.009435149479620208,0.08433569940291064,3391,0.036437989799726345,-0.01110609766958632,0.083982077269039,0.13306490942503366,23,45,0.010877054041207864,False
2,xgboost,transformer,0.1249958726013317,0.09962090443600853,single fit,ensemble of 5 seeds,-0.02537496816532317,-0.06638524320259052,0.018350456164778515,0.245,-0.06296315516640524,0.01185632411140936,-0.04383293413599265,-0.07067116227481116,-0.017682857781982732,0.002,-0.06587210206816616,-0.02352728361806247,3391,-0.04383293413599243,-0.06473926410277196,-0.0229266041692129,3.9681171396550945e-05,56,98,0.0009535862845175709,False
2,xgboost,C_lstm,0.1249958726013317,0.12707999191637112,single fit,ensemble of 5 seeds,0.0020841193150394205,-0.03352607359623195,0.04265122342547519,0.877,-0.03364525604882461,0.040177277204171205,-0.02243362702569962,-0.044837289943157804,0.0005792211595145287,0.059,-0.04178622844196159,-0.0029012140574323285,3391,-0.0224336270256994,-0.04190043133824482,-0.0029668227131539777,0.023903874792543314,159,98,0.0001820555814559593,False
2,transformer,lstm,0.09962090443600853,0.06827470848886817,ensemble of 5 seeds,ensemble of 5 seeds,-0.03134619594714036,-0.08179822707303194,0.007697056461951138,0.133,-0.06891046872881151,0.002809890378468662,0.005760524239689202,-0.02232370206043835,0.03317816262406638,0.716,-0.015374551544629222,0.027435557861502594,3391,0.00576052423968898,-0.015091870750096333,0.026612919229474293,0.5882010614687383,39,51,0.24625169969252364,False
2,xgboost,lstm,0.1249958726013317,0.06827470848886817,single fit,ensemble of 5 seeds,-0.05672116411246353,-0.1082728183160853,-0.00628747050265277,0.029,-0.10082692369877715,-0.013482426021658783,-0.03807240989630345,-0.060851264207585146,-0.016714350052754005,0.001,-0.056875483202518236,-0.019084668334529833,3391,-0.03807240989630345,-0.05630930398252504,-0.019835515810081864,4.281563067430615e-05,46,100,1.152891389066962e-05,True
2,transformer,C_lstm,0.09962090443600853,0.12707999191637112,ensemble of 5 seeds,ensemble of 5 seeds,0.02745908748036259,-0.02149349441545122,0.0719521980107016,0.227,-0.008580756753908588,0.06767020936050853,0.02139930711029303,-0.0008264411809769416,0.043523837764226504,0.062,0.0021315450003198595,0.04067793757517035,3391,0.02139930711029303,0.0026196257427054497,0.04017898847788061,0.025524925858447785,166,63,1.580058493141788e-11,False
