horizon,model,level,budget,n,n_positive,base_rate,k,tp,precision,recall,lift
1,altman_zdp,window,k=50,32216,60,0.001862428606903402,50,0,0.0,0.0,0.0
1,altman_zdp,window,k=100,32216,60,0.001862428606903402,100,0,0.0,0.0,0.0
1,altman_zdp,window,k=200,32216,60,0.001862428606903402,200,1,0.005,0.016666666666666666,2.6846666666666668
1,altman_zdp,window,top 1%,32216,60,0.001862428606903402,322,1,0.003105590062111801,0.016666666666666666,1.667494824016563
1,altman_zdp,window,top 5%,32216,60,0.001862428606903402,1611,9,0.00558659217877095,0.15,2.9996275605214153
1,altman_zdp,firm,k=50,3391,60,0.017693895606015926,50,1,0.02,0.016666666666666666,1.1303333333333332
1,altman_zdp,firm,k=100,3391,60,0.017693895606015926,100,2,0.02,0.03333333333333333,1.1303333333333332
1,altman_zdp,firm,k=200,3391,60,0.017693895606015926,200,3,0.015,0.05,0.8477499999999999
1,altman_zdp,firm,top 1%,3391,60,0.017693895606015926,34,0,0.0,0.0,0.0
1,altman_zdp,firm,top 5%,3391,60,0.017693895606015926,170,2,0.011764705882352941,0.03333333333333333,0.6649019607843136
1,xgboost,window,k=50,32216,60,0.001862428606903402,50,14,0.28,0.23333333333333334,150.34133333333335
1,xgboost,window,k=100,32216,60,0.001862428606903402,100,16,0.16,0.26666666666666666,85.90933333333334
1,xgboost,window,k=200,32216,60,0.001862428606903402,200,17,0.085,0.2833333333333333,45.63933333333333
1,xgboost,window,top 1%,32216,60,0.001862428606903402,322,22,0.06832298136645963,0.36666666666666664,36.68488612836439
1,xgboost,window,top 5%,32216,60,0.001862428606903402,1611,34,0.02110490378646803,0.5666666666666667,11.331926339747568
1,xgboost,firm,k=50,3391,60,0.017693895606015926,50,15,0.3,0.25,16.955
1,xgboost,firm,k=100,3391,60,0.017693895606015926,100,18,0.18,0.3,10.172999999999998
1,xgboost,firm,k=200,3391,60,0.017693895606015926,200,26,0.13,0.43333333333333335,7.347166666666666
1,xgboost,firm,top 1%,3391,60,0.017693895606015926,34,14,0.4117647058823529,0.23333333333333334,23.27156862745098
1,xgboost,firm,top 5%,3391,60,0.017693895606015926,170,24,0.1411764705882353,0.4,7.9788235294117635
1,transformer,window,k=50,32216,60,0.001862428606903402,50,8,0.16,0.13333333333333333,85.90933333333334
1,transformer,window,k=100,32216,60,0.001862428606903402,100,9,0.09,0.15,48.324
1,transformer,window,k=200,32216,60,0.001862428606903402,200,13,0.065,0.21666666666666667,34.900666666666666
1,transformer,window,top 1%,32216,60,0.001862428606903402,322,17,0.052795031055900624,0.2833333333333333,28.347412008281573
1,transformer,window,top 5%,32216,60,0.001862428606903402,1611,27,0.01675977653631285,0.45,8.998882681564245
1,transformer,firm,k=50,3391,60,0.017693895606015926,50,9,0.18,0.15,10.172999999999998
1,transformer,firm,k=100,3391,60,0.017693895606015926,100,13,0.13,0.21666666666666667,7.347166666666666
1,transformer,firm,k=200,3391,60,0.017693895606015926,200,20,0.1,0.3333333333333333,5.651666666666666
1,transformer,firm,top 1%,3391,60,0.017693895606015926,34,8,0.23529411764705882,0.13333333333333333,13.298039215686273
1,transformer,firm,top 5%,3391,60,0.017693895606015926,170,18,0.10588235294117647,0.3,5.984117647058823
1,C_lstm,window,k=50,32216,60,0.001862428606903402,50,12,0.24,0.2,128.864
1,C_lstm,window,k=100,32216,60,0.001862428606903402,100,15,0.15,0.25,80.53999999999999
1,C_lstm,window,k=200,32216,60,0.001862428606903402,200,18,0.09,0.3,48.324
1,C_lstm,window,top 1%,32216,60,0.001862428606903402,322,21,0.06521739130434782,0.35,35.017391304347825
1,C_lstm,window,top 5%,32216,60,0.001862428606903402,1611,33,0.020484171322160148,0.55,10.998634388578521
1,C_lstm,firm,k=50,3391,60,0.017693895606015926,50,14,0.28,0.23333333333333334,15.824666666666667
1,C_lstm,firm,k=100,3391,60,0.017693895606015926,100,18,0.18,0.3,10.172999999999998
1,C_lstm,firm,k=200,3391,60,0.017693895606015926,200,24,0.12,0.4,6.781999999999999
1,C_lstm,firm,top 1%,3391,60,0.017693895606015926,34,14,0.4117647058823529,0.23333333333333334,23.27156862745098
1,C_lstm,firm,top 5%,3391,60,0.017693895606015926,170,21,0.12352941176470589,0.35,6.981470588235294
2,altman_zdp,window,k=50,32216,158,0.004904395331512292,50,0,0.0,0.0,0.0
2,altman_zdp,window,k=100,32216,158,0.004904395331512292,100,0,0.0,0.0,0.0
2,altman_zdp,window,k=200,32216,158,0.004904395331512292,200,1,0.005,0.006329113924050633,1.019493670886076
2,altman_zdp,window,top 1%,32216,158,0.004904395331512292,322,1,0.003105590062111801,0.006329113924050633,0.6332258825379353
2,altman_zdp,window,top 5%,32216,158,0.004904395331512292,1611,23,0.014276846679081317,0.14556962025316456,2.9110309659068587
2,altman_zdp,firm,k=50,3391,105,0.03096431731052787,50,1,0.02,0.009523809523809525,0.6459047619047619
2,altman_zdp,firm,k=100,3391,105,0.03096431731052787,100,2,0.02,0.01904761904761905,0.6459047619047619
2,altman_zdp,firm,k=200,3391,105,0.03096431731052787,200,5,0.025,0.047619047619047616,0.8073809523809524
2,altman_zdp,firm,top 1%,3391,105,0.03096431731052787,34,0,0.0,0.0,0.0
2,altman_zdp,firm,top 5%,3391,105,0.03096431731052787,170,3,0.01764705882352941,0.02857142857142857,0.5699159663865546
2,xgboost,window,k=50,32216,158,0.004904395331512292,50,15,0.3,0.0949367088607595,61.16962025316455
2,xgboost,window,k=100,32216,158,0.004904395331512292,100,25,0.25,0.15822784810126583,50.974683544303794
2,xgboost,window,k=200,32216,158,0.004904395331512292,200,33,0.165,0.2088607594936709,33.6432911392405
2,xgboost,window,top 1%,32216,158,0.004904395331512292,322,39,0.12111801242236025,0.2468354430379747,24.69580941897948
2,xgboost,window,top 5%,32216,158,0.004904395331512292,1611,84,0.0521415270018622,0.5316455696202531,10.631591353746789
2,xgboost,firm,k=50,3391,105,0.03096431731052787,50,20,0.4,0.19047619047619047,12.918095238095239
2,xgboost,firm,k=100,3391,105,0.03096431731052787,100,28,0.28,0.26666666666666666,9.042666666666667
2,xgboost,firm,k=200,3391,105,0.03096431731052787,200,37,0.185,0.3523809523809524,5.974619047619047
2,xgboost,firm,top 1%,3391,105,0.03096431731052787,34,13,0.38235294117647056,0.12380952380952381,12.348179271708682
2,xgboost,firm,top 5%,3391,105,0.03096431731052787,170,33,0.19411764705882353,0.3142857142857143,6.269075630252101
2,transformer,window,k=50,32216,158,0.004904395331512292,50,13,0.26,0.08227848101265822,53.01367088607595
2,transformer,window,k=100,32216,158,0.004904395331512292,100,20,0.2,0.12658227848101267,40.77974683544304
2,transformer,window,k=200,32216,158,0.004904395331512292,200,26,0.13,0.16455696202531644,26.506835443037975
2,transformer,window,top 1%,32216,158,0.004904395331512292,322,31,0.09627329192546584,0.1962025316455696,19.630002358675995
2,transformer,window,top 5%,32216,158,0.004904395331512292,1611,69,0.04283054003724395,0.43670886075949367,8.733092897720576
2,transformer,firm,k=50,3391,105,0.03096431731052787,50,14,0.28,0.13333333333333333,9.042666666666667
2,transformer,firm,k=100,3391,105,0.03096431731052787,100,17,0.17,0.1619047619047619,5.4901904761904765
2,transformer,firm,k=200,3391,105,0.03096431731052787,200,28,0.14,0.26666666666666666,4.521333333333334
2,transformer,firm,top 1%,3391,105,0.03096431731052787,34,10,0.29411764705882354,0.09523809523809523,9.49859943977591
2,transformer,firm,top 5%,3391,105,0.03096431731052787,170,24,0.1411764705882353,0.22857142857142856,4.559327731092437
2,C_lstm,window,k=50,32216,158,0.004904395331512292,50,16,0.32,0.10126582278481013,65.24759493670886
2,C_lstm,window,k=100,32216,158,0.004904395331512292,100,20,0.2,0.12658227848101267,40.77974683544304
2,C_lstm,window,k=200,32216,158,0.004904395331512292,200,34,0.17,0.21518987341772153,34.66278481012658
2,C_lstm,window,top 1%,32216,158,0.004904395331512292,322,40,0.12422360248447205,0.25316455696202533,25.329035301517415
2,C_lstm,window,top 5%,32216,158,0.004904395331512292,1611,81,0.05027932960893855,0.5126582278481012,10.251891662541546
2,C_lstm,firm,k=50,3391,105,0.03096431731052787,50,17,0.34,0.1619047619047619,10.980380952380953
2,C_lstm,firm,k=100,3391,105,0.03096431731052787,100,24,0.24,0.22857142857142856,7.750857142857142
2,C_lstm,firm,k=200,3391,105,0.03096431731052787,200,39,0.195,0.37142857142857144,6.297571428571429
2,C_lstm,firm,top 1%,3391,105,0.03096431731052787,34,15,0.4411764705882353,0.14285714285714285,14.247899159663865
2,C_lstm,firm,top 5%,3391,105,0.03096431731052787,170,37,0.21764705882352942,0.3523809523809524,7.028963585434173
3,altman_zdp,window,k=50,32216,260,0.008070523963248075,50,0,0.0,0.0,0.0
3,altman_zdp,window,k=100,32216,260,0.008070523963248075,100,0,0.0,0.0,0.0
3,altman_zdp,window,k=200,32216,260,0.008070523963248075,200,1,0.005,0.0038461538461538464,0.6195384615384616
3,altman_zdp,window,top 1%,32216,260,0.008070523963248075,322,1,0.003105590062111801,0.0038461538461538464,0.3848064978499761
3,altman_zdp,window,top 5%,32216,260,0.008070523963248075,1611,34,0.02110490378646803,0.13076923076923078,2.6150599245571313
3,altman_zdp,firm,k=50,3391,116,0.03420819817163079,50,1,0.02,0.008620689655172414,0.5846551724137931
3,altman_zdp,firm,k=100,3391,116,0.03420819817163079,100,2,0.02,0.017241379310344827,0.5846551724137931
3,altman_zdp,firm,k=200,3391,116,0.03420819817163079,200,6,0.03,0.05172413793103448,0.8769827586206896
3,altman_zdp,firm,top 1%,3391,116,0.03420819817163079,34,0,0.0,0.0,0.0
3,altman_zdp,firm,top 5%,3391,116,0.03420819817163079,170,3,0.01764705882352941,0.02586206896551724,0.5158722109533468
3,xgboost,window,k=50,32216,260,0.008070523963248075,50,15,0.3,0.057692307692307696,37.1723076923077
3,xgboost,window,k=100,32216,260,0.008070523963248075,100,26,0.26,0.1,32.216
3,xgboost,window,k=200,32216,260,0.008070523963248075,200,41,0.205,0.1576923076923077,25.401076923076925
3,xgboost,window,top 1%,32216,260,0.008070523963248075,322,57,0.17701863354037267,0.21923076923076923,21.93397037744864
3,xgboost,window,top 5%,32216,260,0.008070523963248075,1611,123,0.07635009310986965,0.47307692307692306,9.460363844721387
3,xgboost,firm,k=50,3391,116,0.03420819817163079,50,18,0.36,0.15517241379310345,10.523793103448275
3,xgboost,firm,k=100,3391,116,0.03420819817163079,100,29,0.29,0.25,8.4775
