bin,n,mean_predicted,observed_rate,gap,horizon,model
0,3222,0.0018286902012229315,0.0074487895716946,0.005620099370471668,1,altman_zdp
1,3222,0.001829625585943133,0.007138423339540658,0.005308797753597525,1,altman_zdp
2,3221,0.001829635122558508,0.0024837007140639552,0.0006540655915054472,1,altman_zdp
3,3222,0.0018296381454256014,0.00031036623215394165,-0.0015192719132716597,1,altman_zdp
4,3221,0.0018296393470064781,0.0006209251785159888,-0.0012087141684904894,1,altman_zdp
5,3222,0.0018296403030746346,0.00031036623215394165,-0.001519274070920693,1,altman_zdp
6,3221,0.0018296412852510857,0.0003104625892579944,-0.0015191786959930912,1,altman_zdp
7,3222,0.0018296424191399548,0.0,-0.0018296424191399548,1,altman_zdp
8,3221,0.0018296440617536097,0.0,-0.0018296440617536097,1,altman_zdp
9,3222,0.001829655073886477,0.0,-0.001829655073886477,1,altman_zdp
0,3222,4.6347886795401335e-07,0.00031036623215394165,0.00030990275328598765,1,xgboost
1,3222,1.2010327916740128e-06,0.0,-1.2010327916740128e-06,1,xgboost
2,3221,2.1140074033299124e-06,0.0,-2.1140074033299124e-06,1,xgboost
3,3222,3.5101844425116837e-06,0.0,-3.5101844425116837e-06,1,xgboost
4,3221,5.741882653439229e-06,0.0012418503570319776,0.0012361084743785385,1,xgboost
5,3222,9.714597495242848e-06,0.000931098696461825,0.0009213840989665821,1,xgboost
6,3221,1.743509627747866e-05,0.0009313877677739833,0.0009139526714965047,1,xgboost
7,3222,3.6435746042206405e-05,0.000931098696461825,0.0008946629504196185,1,xgboost
8,3221,0.00010672267649092303,0.0024837007140639552,0.0023769780375730324,1,xgboost
9,3222,0.01029650835918653,0.011793916821849782,0.0014974084626632519,1,xgboost
0,3222,0.00042109018983369986,0.0,-0.00042109018983369986,1,transformer
1,3222,0.0004449331759644122,0.00031036623215394165,-0.00013456694381047056,1,transformer
2,3221,0.00046659591939719264,0.0,-0.00046659591939719264,1,transformer
3,3222,0.0004903107895113355,0.0012414649286157666,0.0007511541391044311,1,transformer
4,3221,0.0005218804599523535,0.0006209251785159888,9.90447185636353e-05,1,transformer
5,3222,0.0005705627861678714,0.00031036623215394165,-0.00026019655401392976,1,transformer
6,3221,0.0006615986800120807,0.0009313877677739833,0.00026978908776190255,1,transformer
7,3222,0.0009027516861493317,0.0021725636250775914,0.0012698119389282598,1,transformer
8,3221,0.0018278078195742757,0.0024837007140639552,0.0006558928944896795,1,transformer
9,3222,0.025369500563451632,0.010552451893234015,-0.014817048670217617,1,transformer
0,3222,2.7731914728901124e-05,0.00031036623215394165,0.00028263431742504055,1,C_lstm
1,3222,9.316397228136295e-05,0.00031036623215394165,0.0002172022598725787,1,C_lstm
2,3221,0.0001804207358203897,0.0,-0.0001804207358203897,1,C_lstm
3,3222,0.0002985918846680574,0.0006207324643078833,0.0003221405796398259,1,C_lstm
4,3221,0.0004867087309431627,0.0,-0.0004867087309431627,1,C_lstm
5,3222,0.0008387535839628608,0.0,-0.0008387535839628608,1,C_lstm
6,3221,0.0015641781588575667,0.0006209251785159888,-0.0009432529803415779,1,C_lstm
7,3222,0.002998894941530576,0.0021725636250775914,-0.0008263313164529845,1,C_lstm
8,3221,0.006847041776737453,0.0027941633033219497,-0.004052878473415503,1,C_lstm
9,3222,0.07850679063020259,0.011793916821849782,-0.06671287380835281,1,C_lstm
0,3222,0.0034135921274650264,0.0186219739292365,0.015208381801771474,2,altman_zdp
1,3222,0.0034154210499558325,0.014587212911235258,0.011171791861279425,2,altman_zdp
2,3221,0.0034154410195028004,0.009313877677739833,0.0058984366582370325,2,altman_zdp
3,3222,0.003415447349349607,0.003414028553693358,-1.418795656248778e-06,2,altman_zdp
4,3221,0.00341544986544568,0.0009313877677739833,-0.0024840620976716967,2,altman_zdp
5,3222,0.003415451867441189,0.0006207324643078833,-0.0027947194031333056,2,altman_zdp
6,3221,0.00341545392410729,0.001552312946289972,-0.001863140977817318,2,altman_zdp
7,3222,0.0034154562984576027,0.0,-0.0034154562984576027,2,altman_zdp
8,3221,0.003415459738072122,0.0,-0.003415459738072122,2,altman_zdp
9,3222,0.0034154827980901123,0.0,-0.0034154827980901123,2,altman_zdp
0,3222,1.1532297110050239e-06,0.0,-1.1532297110050239e-06,2,xgboost
1,3222,2.7837779361677857e-06,0.0,-2.7837779361677857e-06,2,xgboost
2,3221,5.065009496883306e-06,0.0,-5.065009496883306e-06,2,xgboost
3,3222,8.781959753745839e-06,0.0006207324643078833,0.0006119505045541375,2,xgboost
4,3221,1.5316091325532132e-05,0.0003104625892579944,0.0002951464979324623,2,xgboost
5,3222,2.735164790690462e-05,0.0015518311607697084,0.0015244795128628037,2,xgboost
6,3221,5.2898500226233476e-05,0.001552312946289972,0.0014994144460637386,2,xgboost
7,3222,0.0001193048310331738,0.004345127250155183,0.004225822419122009,2,xgboost
8,3221,0.00040684963218376674,0.007451102142191866,0.007044252510008099,2,xgboost
9,3222,0.026362271311038625,0.033209186840471756,0.006846915529433131,2,xgboost
0,3222,0.0010102919470458126,0.0,-0.0010102919470458126,2,transformer
1,3222,0.0011456707055064197,0.0012414649286157666,9.579422310934693e-05,2,transformer
2,3221,0.0013497923862261917,0.0,-0.0013497923862261917,2,transformer
3,3222,0.0016772831333593033,0.0,-0.0016772831333593033,2,transformer
4,3221,0.002206788063211235,0.0012418503570319776,-0.0009649377061792576,2,transformer
5,3222,0.003124464364895224,0.0015518311607697084,-0.0015726332041255155,2,transformer
6,3221,0.004987878042849481,0.0024837007140639552,-0.002504177328785526,2,transformer
7,3222,0.008861589231479203,0.006517690875232775,-0.0023438983562464287,2,transformer
8,3221,0.018407887568392577,0.008382489909965849,-0.010025397658426728,2,transformer
9,3222,0.09667605234334312,0.027622594661700806,-0.06905345768164231,2,transformer
0,3222,0.0005050457506663511,0.0,-0.0005050457506663511,2,C_lstm
1,3222,0.001101411451248991,0.0,-0.001101411451248991,2,C_lstm
2,3221,0.002134210732671525,0.001552312946289972,-0.000581897786381553,2,C_lstm
3,3222,0.0037085344237526895,0.00031036623215394165,-0.0033981681915987477,2,C_lstm
4,3221,0.006216486534280127,0.0006209251785159888,-0.005595561355764138,2,C_lstm
5,3222,0.010475083012052902,0.0006207324643078833,-0.009854350547745019,2,C_lstm
6,3221,0.01779067797950061,0.0034150884818379386,-0.014375589497662673,2,C_lstm
7,3222,0.03141684921182031,0.002793296089385475,-0.028623553122434833,2,C_lstm
8,3221,0.062187709380374934,0.007451102142191866,-0.05473660723818307,2,C_lstm
9,3222,0.2490979448830319,0.03227808814400993,-0.216819856739022,2,C_lstm
0,3222,0.004477659547836868,0.027622594661700806,0.023144935113863938,3,altman_zdp
1,3222,0.004479996163250712,0.023587833643699565,0.019107837480448853,3,altman_zdp
2,3221,0.00448002072376555,0.018006830176963674,0.013526809453198126,3,altman_zdp
3,3222,0.004480028508832183,0.00558659217877095,0.0011065636699387673,3,altman_zdp
4,3221,0.004480031603373713,0.0024837007140639552,-0.0019963308893097575,3,altman_zdp
5,3222,0.004480034065623878,0.000931098696461825,-0.003548935369162053,3,altman_zdp
6,3221,0.0044800365951131954,0.002173238124805961,-0.0023067984703072347,3,altman_zdp
7,3222,0.004480039515321537,0.0,-0.004480039515321537,3,altman_zdp
8,3221,0.004480043745695796,0.0003104625892579944,-0.004169581156437802,3,altman_zdp
