horizon,model,group_kind,group,n,n_positive,base_rate,n_firms,pr_auc,roc_auc,pr_auc_cluster_ci_low,pr_auc_cluster_ci_high,status
1,altman_zdp,size tercile,small,9370,26,0.002774813233724653,1262,0.006192291158155571,0.7631223656480506,0.003907738895970198,0.011159889624337465,reported
1,altman_zdp,size tercile,mid,10548,22,0.002085703450891164,1234,0.020072120069367923,0.8921285820392794,0.00865227347695149,0.1008851195961892,reported
1,altman_zdp,size tercile,large,12298,12,0.0009757684176288828,1202,,,,,"too few (12 test positives, need 20)"
1,xgboost,size tercile,small,9370,26,0.002774813233724653,1262,0.02815511425699352,0.75968124341412,0.007442365355046041,0.1136019125473275,reported
1,xgboost,size tercile,mid,10548,22,0.002085703450891164,1234,0.3076729509388006,0.887607310037483,0.1300859082067987,0.5036943057775632,reported
1,xgboost,size tercile,large,12298,12,0.0009757684176288828,1202,,,,,"too few (12 test positives, need 20)"
1,transformer,size tercile,small,9370,26,0.002774813233724653,1262,0.018408387317225824,0.7677983403582718,0.00658758805105218,0.06340628533496542,reported
1,transformer,size tercile,mid,10548,22,0.002085703450891164,1234,0.18944307768975518,0.849632079871487,0.05741989564292463,0.35730774805931365,reported
1,transformer,size tercile,large,12298,12,0.0009757684176288828,1202,,,,,"too few (12 test positives, need 20)"
1,C_lstm,size tercile,small,9370,26,0.002774813233724653,1262,0.03043176626679818,0.834332191780822,0.011034568190522582,0.09530280250614438,reported
1,C_lstm,size tercile,mid,10548,22,0.002085703450891164,1234,0.32918987219222373,0.9028984505898813,0.14773024971664722,0.5377814153646295,reported
1,C_lstm,size tercile,large,12298,12,0.0009757684176288828,1202,,,,,"too few (12 test positives, need 20)"
2,altman_zdp,size tercile,small,9370,73,0.007790821771611526,1262,0.013486122334864964,0.7167152167218471,0.0095121270607768,0.0193325592138341,reported
2,altman_zdp,size tercile,mid,10548,58,0.005498672734167614,1234,0.042038771711230376,0.8856365668452714,0.023236928951191445,0.12713008041887916,reported
2,altman_zdp,size tercile,large,12298,27,0.0021954789396649863,1202,0.060781298739881896,0.8708578189468092,0.0251629517539969,0.22520805051590745,reported
2,xgboost,size tercile,small,9370,73,0.007790821771611526,1262,0.03445393992493743,0.8032109341502119,0.020539402746726936,0.06581159385284516,reported
2,xgboost,size tercile,mid,10548,58,0.005498672734167614,1234,0.20139081333965764,0.9265441635712173,0.09785925847080063,0.3201959954443226,reported
2,xgboost,size tercile,large,12298,27,0.0021954789396649863,1202,0.20418415178900332,0.9550189093828569,0.10444610955963617,0.35557485990420795,reported
2,transformer,size tercile,small,9370,73,0.007790821771611526,1262,0.030781899032072107,0.7742341394557973,0.01484932942499462,0.09725432524265681,reported
2,transformer,size tercile,mid,10548,58,0.005498672734167614,1234,0.1679013880120238,0.8696804838762697,0.07243269124330211,0.28936381027307895,reported
2,transformer,size tercile,large,12298,27,0.0021954789396649863,1202,0.1911986118264761,0.8993350778861332,0.05616905966584495,0.4229570710213467,reported
2,C_lstm,size tercile,small,9370,73,0.007790821771611526,1262,0.05542384744284393,0.8582927767242636,0.03128423165210957,0.11064362084687983,reported
2,C_lstm,size tercile,mid,10548,58,0.005498672734167614,1234,0.22727741179155833,0.8823066302882877,0.11761056545802022,0.3484306671548109,reported
2,C_lstm,size tercile,large,12298,27,0.0021954789396649863,1202,0.22766948821702684,0.9010132290223564,0.08960482539547522,0.43123553213461624,reported
3,altman_zdp,size tercile,small,9370,121,0.012913553895410886,1262,0.020371816639908582,0.6987210589663926,0.014773384939248131,0.027716669805102963,reported
3,altman_zdp,size tercile,mid,10548,98,0.009290860826697004,1234,0.05906515004022424,0.8756810858314618,0.03503349178371159,0.14019735003603873,reported
3,altman_zdp,size tercile,large,12298,41,0.0033338754268986827,1202,0.06299302901596458,0.8579368285320286,0.02739444963201287,0.188000805706086,reported
3,xgboost,size tercile,small,9370,121,0.012913553895410886,1262,0.055621318678630426,0.8199885804049399,0.03384963811001756,0.0997385273411622,reported
3,xgboost,size tercile,mid,10548,98,0.009290860826697004,1234,0.19019152067883727,0.9133883409823259,0.10030368708226267,0.3026378731659532,reported
3,xgboost,size tercile,large,12298,41,0.0033338754268986827,1202,0.2745031252901564,0.9429196258185963,0.10784101996069638,0.44253659873932094,reported
3,transformer,size tercile,small,9370,121,0.012913553895410886,1262,0.040851049944459095,0.7751358422487489,0.02518876675333207,0.09123876435320952,reported
3,transformer,size tercile,mid,10548,98,0.009290860826697004,1234,0.14263534518684454,0.8819382872766331,0.0736156053210454,0.2531076262232001,reported
3,transformer,size tercile,large,12298,41,0.0033338754268986827,1202,0.18919077448113064,0.8974463571836502,0.05027592640358128,0.41517645258527464,reported
3,C_lstm,size tercile,small,9370,121,0.012913553895410886,1262,0.06226648024027694,0.8374548421138224,0.039217417933142644,0.11193580136982756,reported
3,C_lstm,size tercile,mid,10548,98,0.009290860826697004,1234,0.19185369753179343,0.8980402304462454,0.11207782208525831,0.28692725087601106,reported
3,C_lstm,size tercile,large,12298,41,0.0033338754268986827,1202,0.30773491011391385,0.9087350782131466,0.12783624381298903,0.5116377354440239,reported
4,altman_zdp,size tercile,small,9370,168,0.01792956243329776,1262,0.026453238139303066,0.6820599300359135,0.01942507374990512,0.03564851138481133,reported
4,altman_zdp,size tercile,mid,10548,141,0.013367463026166098,1234,0.07093985436651883,0.860909221630013,0.04401492182965823,0.1471410082690159,reported
4,altman_zdp,size tercile,large,12298,54,0.004390957879329973,1202,0.05945398658634086,0.8496905513811753,0.027371940329784163,0.1575347862986743,reported
4,xgboost,size tercile,small,9370,168,0.01792956243329776,1262,0.06558691725601229,0.8070896854721022,0.04254949542456079,0.10351368656639565,reported
4,xgboost,size tercile,mid,10548,141,0.013367463026166098,1234,0.19217232336908455,0.901891593696823,0.1113948843297373,0.296313740036685,reported
4,xgboost,size tercile,large,12298,54,0.004390957879329973,1202,0.3090730305966484,0.9469157985165826,0.1419358680612342,0.4882455422713558,reported
