arch,horizon,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,recall_mean,n_seeds,single_pr_auc_mean,single_pr_auc_std,single_roc_auc_mean,single_roc_auc_std,multi_beats_single_pr
bilstm,1,0.7340889206783597,0.034264221427257865,0.013776412527805773,0.004916618685282556,0.047625412924318926,0.04666666666666667,5,0.059115620257619385,0.027230832999143615,0.705897499689016,0.07030143898615175,False
bilstm,2,0.7461991359016213,0.034724852957100996,0.024155796513188832,0.004497495787350501,0.046283617282629044,0.03291139240506329,5,0.03393823560717587,0.009035561662301864,0.7322834561723963,0.02106340127375957,False
bilstm,3,0.7399633269784415,0.02318257854130146,0.03358282244898485,0.0066226016039256696,0.061056246948452374,0.04538461538461539,5,0.03340794451336964,0.005211070375214416,0.725285043376951,0.011895876724132365,True
bilstm,4,0.741200914427926,0.014173607714560627,0.04254159583141585,0.006512633898649822,0.05711620181093526,0.04077134986225896,5,0.035269859514811944,0.0067086730583935566,0.703719228802352,0.0484338717517592,True
cnn_lstm_attn,1,0.8348474105402828,0.027573047183112206,0.033516558791319075,0.012652309352511855,0.050301940517080354,0.05,5,0.03977347720238853,0.021107754810665923,0.7616673922958908,0.06734600311326668,False
cnn_lstm_attn,2,0.8186390213623882,0.016180073967077394,0.033866798957324404,0.004706974276090557,0.06925251223037632,0.0670886075949367,5,0.03887400814140151,0.012479555265337861,0.8156764124517982,0.03975095192375243,False
cnn_lstm_attn,3,0.8059932286701906,0.017439442509104022,0.042227738069359186,0.005531354701383975,0.07231705240015687,0.05846153846153847,5,0.03853320545817132,0.006160663489487929,0.7892129201690785,0.019716449729536123,True
cnn_lstm_attn,4,0.793837133547108,0.018091535649650995,0.049114850301180055,0.006906273458032424,0.07454220022310495,0.05619834710743802,5,0.043957988771362616,0.0059863391432279775,0.7758124248279307,0.02197190892356173,True
lstm,1,0.7681726064601733,0.042865768774777234,0.015650134283063923,0.009449014370584088,0.017726543165951122,0.016666666666666666,5,0.06493962462543863,0.013792001658755437,0.8329006509930755,0.03029474371816683,False
lstm,2,0.7496494881508278,0.03817383718198118,0.021177894921983274,0.006715696025084997,0.032950333760157505,0.02911392405063291,5,0.044915950633043225,0.015281076230758507,0.8044688780067141,0.05576399009960457,False
lstm,3,0.7408176025689169,0.034982519423682815,0.02840071642197739,0.006990058821445101,0.035042579112820826,0.026923076923076928,5,0.028580482122988905,0.0017626424707425632,0.7652071598447865,0.02018416430215414,False
lstm,4,0.7306898710579826,0.03093380544579955,0.035606349281974994,0.007665000554828752,0.03375108632262762,0.02203856749311295,5,0.03900840511534466,0.009311082251849253,0.7440254426346788,0.02593219943144252,False
transformer,1,0.8802063378529669,0.014264255738969873,0.06670432861617295,0.015442834337842472,0.10729838913295967,0.07666666666666666,5,0.0774092670320006,0.02957830295205681,0.8135251586018161,0.029413633335180368,False
transformer,2,0.8697705345769654,0.013055567708735717,0.06117170543622093,0.012885742234619708,0.07935049677169877,0.05569620253164557,5,0.07883998589669945,0.016304653134555834,0.8412055759695047,0.016373620686939486,False
transformer,3,0.8642280250729367,0.011862147164978904,0.0698264733826243,0.0123169116977986,0.07495873967170211,0.05153846153846155,5,0.07629151575611812,0.016054794251700925,0.853019199476203,0.011299199358800967,False
transformer,4,0.8561004888243939,0.01191280146030768,0.07618697929282964,0.010938664874521236,0.05721243744987764,0.03636363636363636,5,0.069234630757592,0.01217928859378986,0.828973939253833,0.021757356676974846,True
