protocol,horizon,seed,arch,scored_on,n_test,test_positive_rate,threshold,accuracy,balanced_accuracy,f1,recall,specificity,precision,roc_auc,pr_auc,pr_auc_lift,n_synthetic,description
inflated,1,0,lstm,test set as the protocol leaves it,55761,0.49927368590950666,0.5,0.9991212496189092,0.9991225242648902,0.9991207450340038,1.0,0.9982450485297805,0.9982430348883072,0.9999276064507948,0.9998851520662241,2.0026794527429854,139150,random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5
inflated_natural_test,1,0,lstm,real windows only,27974,0.0018946164295417173,0.5,0.998248373489669,0.9991225242648902,0.6838709677419356,1.0,0.9982450485297805,0.5196078431372549,0.9999094480180942,0.9293025010242438,490.4963804462679,139150,"random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5; scored only on the real (non-synthetic) test windows, at the natural base rate"
half_fixed,1,0,lstm,test set as the protocol leaves it,65332,0.5078062817608523,0.5,0.8487418110573686,0.8510187521599024,0.8256281761716545,0.7051784422474078,0.996859062072397,0.9957013959822949,0.9544344481034447,0.963255798647231,1.8968961851103476,139150,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary"
half_fixed_natural_test,1,0,lstm,real windows only,32216,0.001862428606903402,0.5,0.9962130618326297,0.8234295310361985,0.39,0.65,0.996859062072397,0.2785714285714286,0.9052963158767674,0.3598861362406216,193.23486275213108,139150,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary; scored only on the real (non-synthetic) test windows, at the natural base rate"
correct,1,0,lstm,real windows only,32216,0.001862428606903402,0.9987173080444336,0.9976719642413707,0.5164023303064229,0.05063291139240506,0.03333333333333333,0.9994713272795124,0.10526315789473684,0.7609684040303522,0.018136307381565672,9.737987976741994,0,inherited chronological split; SMOTE fitted and applied inside train only; threshold chosen on val
inflated,1,1,lstm,test set as the protocol leaves it,55761,0.49954269112820787,0.5,0.9994440558813508,0.9994445638930696,0.9994438564073125,1.0,0.9988891277861391,0.9988883310621818,0.9999928150719285,0.9999921731757978,2.0018152420913897,139150,random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5
inflated_natural_test,1,1,lstm,real windows only,27961,0.0019670254998032976,0.5,0.9988913129001109,0.9994445638930696,0.7801418439716312,1.0,0.9988891277861391,0.6395348837209303,0.9999811053992951,0.9899291041082561,503.2619578176536,139150,"random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5; scored only on the real (non-synthetic) test windows, at the natural base rate"
half_fixed,1,1,lstm,test set as the protocol leaves it,65584,0.509697487191998,0.5,0.8345023176384484,0.8376019617658161,0.8067582965389546,0.6777850903434247,0.9974188331882075,0.9963500439753737,0.9172305547133565,0.940668420842402,1.8455425904190528,139150,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary"
half_fixed_natural_test,1,1,lstm,real windows only,32216,0.001862428606903402,0.5,0.9967407499379191,0.8153760832607704,0.4198895027624309,0.6333333333333333,0.9974188331882075,0.3140495867768595,0.8406515632126716,0.4691895180095888,251.92349186994855,139150,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary; scored only on the real (non-synthetic) test windows, at the natural base rate"
correct,1,1,lstm,real windows only,32216,0.001862428606903402,0.9983409643173218,0.9975788428110256,0.5246734668491105,0.07142857142857144,0.05,0.9993469336982211,0.125,0.785427810258324,0.04190195951181803,22.498558793878825,0,inherited chronological split; SMOTE fitted and applied inside train only; threshold chosen on val
inflated,1,2,lstm,test set as the protocol leaves it,55761,0.49852047129714316,0.5,0.9992647190688833,0.9992652963705184,0.9992626827557682,0.9994603928340169,0.99907019990702,0.9990650508828077,0.9999262841125429,0.9998695121803772,2.005673928652781,139150,random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5
