fold,cut,eval_from,eval_to,model,seed,n_train,n_eval,n_pos_eval,roc_auc,pr_auc,f1,recall
<= 2016Q4 -> 2017Q1..2017Q4,2016Q4,2017Q1,2017Q4,transformer,0,43635,10641,108,0.8654950402790526,0.08644330895464,0.0804597701149425,0.0648148148148148
<= 2016Q4 -> 2017Q1..2017Q4,2016Q4,2017Q1,2017Q4,transformer,1,43635,10641,108,0.8835327067312256,0.0816268414401856,0.1016949152542372,0.0833333333333333
<= 2016Q4 -> 2017Q1..2017Q4,2016Q4,2017Q1,2017Q4,transformer,2,43635,10641,108,0.877884672862362,0.1124768847116443,0.1979166666666666,0.1759259259259259
<= 2016Q4 -> 2017Q1..2017Q4,2016Q4,2017Q1,2017Q4,transformer,3,43635,10641,108,0.800009493971328,0.0468814686578935,0.0109289617486338,0.0092592592592592
<= 2016Q4 -> 2017Q1..2017Q4,2016Q4,2017Q1,2017Q4,transformer,4,43635,10641,108,0.8733891016241724,0.1074906488007679,0.2259414225941422,0.25
<= 2016Q4 -> 2017Q1..2017Q4,2016Q4,2017Q1,2017Q4,altman_zdp,-1,0,10641,108,0.8038563105020904,0.0285287649793027,,
<= 2017Q4 -> 2018Q1..2018Q4,2017Q4,2018Q1,2018Q4,transformer,0,54697,10662,126,0.854120716876981,0.0957757840040175,0.10062893081761,0.0634920634920634
<= 2017Q4 -> 2018Q1..2018Q4,2017Q4,2018Q1,2018Q4,transformer,1,54697,10662,126,0.8747081058442105,0.0960738830750198,0.1176470588235294,0.0873015873015873
<= 2017Q4 -> 2018Q1..2018Q4,2017Q4,2018Q1,2018Q4,transformer,2,54697,10662,126,0.8300208054621494,0.1196221441048599,0.1915708812260536,0.1984126984126984
<= 2017Q4 -> 2018Q1..2018Q4,2017Q4,2018Q1,2018Q4,transformer,3,54697,10662,126,0.8280378083908836,0.127678605404361,0.189090909090909,0.2063492063492063
<= 2017Q4 -> 2018Q1..2018Q4,2017Q4,2018Q1,2018Q4,transformer,4,54697,10662,126,0.8144479697725711,0.1153904240820604,0.1437125748502994,0.0952380952380952
<= 2017Q4 -> 2018Q1..2018Q4,2017Q4,2018Q1,2018Q4,altman_zdp,-1,0,10662,126,0.8170678610598884,0.0312617386285304,,
<= 2018Q4 -> 2019Q1..2019Q4,2018Q4,2019Q1,2019Q4,transformer,0,65338,10592,192,0.8179477163461537,0.1104915277821408,0.1474358974358974,0.1197916666666666
<= 2018Q4 -> 2019Q1..2019Q4,2018Q4,2019Q1,2019Q4,transformer,1,65338,10592,192,0.7742505508814103,0.1013786435642841,0.2061482820976491,0.296875
<= 2018Q4 -> 2019Q1..2019Q4,2018Q4,2019Q1,2019Q4,transformer,2,65338,10592,192,0.8168880208333333,0.1022413298879265,0.1654501216545011,0.1770833333333333
<= 2018Q4 -> 2019Q1..2019Q4,2018Q4,2019Q1,2019Q4,transformer,3,65338,10592,192,0.7716316105769232,0.0981656767384163,0.1530054644808743,0.1458333333333333
<= 2018Q4 -> 2019Q1..2019Q4,2018Q4,2019Q1,2019Q4,transformer,4,65338,10592,192,0.8221349158653846,0.1216018685064629,0.2028985507246377,0.2552083333333333
<= 2018Q4 -> 2019Q1..2019Q4,2018Q4,2019Q1,2019Q4,altman_zdp,-1,0,10592,192,0.7472025240384617,0.0334333400379624,,
<= 2019Q4 -> 2020Q1..2021Q4,2019Q4,2020Q1,2021Q4,transformer,0,76000,20844,108,0.8849580797039323,0.1117664953468913,0.1224489795918367,0.3055555555555556
<= 2019Q4 -> 2020Q1..2021Q4,2019Q4,2020Q1,2021Q4,transformer,1,76000,20844,108,0.8667302526291724,0.0994854873878111,0.1789709172259508,0.3703703703703703
<= 2019Q4 -> 2020Q1..2021Q4,2019Q4,2020Q1,2021Q4,transformer,2,76000,20844,108,0.8565511402606311,0.0970474529385336,0.1389396709323583,0.3518518518518518
<= 2019Q4 -> 2020Q1..2021Q4,2019Q4,2020Q1,2021Q4,transformer,3,76000,20844,108,0.8655822223651121,0.1194142060681476,0.0884520884520884,0.5
<= 2019Q4 -> 2020Q1..2021Q4,2019Q4,2020Q1,2021Q4,transformer,4,76000,20844,108,0.8743208269032922,0.0801355345819224,0.1288782816229117,0.25
<= 2019Q4 -> 2020Q1..2021Q4,2019Q4,2020Q1,2021Q4,altman_zdp,-1,0,20844,108,0.8017207504572473,0.012969716586141,,
