cik,company,start_quarter,end_quarter,end_quarter_idx,start_quarter_idx,split,tensor_row,panel_cik,panel_quarter,is_positive_firm,y1,y2,y3,y4,event_date,quarters_to_event,n_observed_quarters,pct_cells_present
1000180,SANDISK CORP,2009Q4,2011Q3,8046,8039,train,0,1000180,2011Q3,0,0,0,0,0,,,7,75.0
1000180,SANDISK CORP,2010Q1,2011Q4,8047,8040,train,1,1000180,2011Q4,0,0,0,0,0,,,7,77.15517241379311
1000180,SANDISK CORP,2010Q2,2012Q1,8048,8041,train,2,1000180,2012Q1,0,0,0,0,0,,,8,79.3103448275862
1000180,SANDISK CORP,2010Q3,2012Q2,8049,8042,train,3,1000180,2012Q2,0,0,0,0,0,,,8,81.03448275862068
1000180,SANDISK CORP,2010Q4,2012Q3,8050,8043,train,4,1000180,2012Q3,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2011Q1,2012Q4,8051,8044,train,5,1000180,2012Q4,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2011Q2,2013Q1,8052,8045,train,6,1000180,2013Q1,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2011Q3,2013Q2,8053,8046,train,7,1000180,2013Q2,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2011Q4,2013Q3,8054,8047,train,8,1000180,2013Q3,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2012Q1,2013Q4,8055,8048,train,9,1000180,2013Q4,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2012Q2,2014Q1,8056,8049,train,10,1000180,2014Q1,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2012Q3,2014Q2,8057,8050,train,11,1000180,2014Q2,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2012Q4,2014Q3,8058,8051,train,12,1000180,2014Q3,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2013Q1,2014Q4,8059,8052,train,13,1000180,2014Q4,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2013Q2,2015Q1,8060,8053,train,14,1000180,2015Q1,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2013Q3,2015Q2,8061,8054,train,15,1000180,2015Q2,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2013Q4,2015Q3,8062,8055,train,16,1000180,2015Q3,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2014Q1,2015Q4,8063,8056,train,17,1000180,2015Q4,0,0,0,0,0,,,8,82.75862068965517
1000180,SANDISK CORP,2014Q2,2016Q1,8064,8057,train,18,1000180,2016Q1,0,0,0,0,0,,,8,82.75862068965517
1000228,HENRY SCHEIN INC,2009Q4,2011Q3,8046,8039,train,19,1000228,2011Q3,0,0,0,0,0,,,7,93.10344827586206
1000228,HENRY SCHEIN INC,2010Q1,2011Q4,8047,8040,train,20,1000228,2011Q4,0,0,0,0,0,,,7,94.82758620689656
1000228,HENRY SCHEIN INC,2010Q2,2012Q1,8048,8041,train,21,1000228,2012Q1,0,0,0,0,0,,,8,96.55172413793105
1000228,HENRY SCHEIN INC,2010Q3,2012Q2,8049,8042,train,22,1000228,2012Q2,0,0,0,0,0,,,8,98.27586206896552
1000228,HENRY SCHEIN INC,2010Q4,2012Q3,8050,8043,train,23,1000228,2012Q3,0,0,0,0,0,,,8,100.0
1000228,HENRY SCHEIN INC,2011Q1,2012Q4,8051,8044,train,24,1000228,2012Q4,0,0,0,0,0,,,8,100.0
1000228,HENRY SCHEIN INC,2011Q2,2013Q1,8052,8045,train,25,1000228,2013Q1,0,0,0,0,0,,,8,98.27586206896552
1000228,HENRY SCHEIN INC,2011Q3,2013Q2,8053,8046,train,26,1000228,2013Q2,0,0,0,0,0,,,8,96.55172413793105
1000228,HENRY SCHEIN INC,2011Q4,2013Q3,8054,8047,train,27,1000228,2013Q3,0,0,0,0,0,,,8,94.82758620689656
1000228,HENRY SCHEIN INC,2012Q1,2013Q4,8055,8048,train,28,1000228,2013Q4,0,0,0,0,0,,,8,93.10344827586206
1000228,HENRY SCHEIN INC,2012Q2,2014Q1,8056,8049,train,29,1000228,2014Q1,0,0,0,0,0,,,8,91.3793103448276
1000228,HENRY SCHEIN INC,2012Q3,2014Q2,8057,8050,train,30,1000228,2014Q2,0,0,0,0,0,,,8,89.65517241379311
1000228,HENRY SCHEIN INC,2012Q4,2014Q3,8058,8051,train,31,1000228,2014Q3,0,0,0,0,0,,,8,87.93103448275862
