family,time_step,step_index,mean_abs_shap,n_observed_cells,horizon
Liquidity,t-7,0,0.0070312841246850544,5744,1
Liquidity,t-6,1,0.005331755075238206,5757,1
Liquidity,t-5,2,0.00575940137748893,5771,1
Liquidity,t-4,3,0.0069208387075072745,5764,1
Liquidity,t-3,4,0.008099984147507653,5767,1
Liquidity,t-2,5,0.00981481238073675,5760,1
Liquidity,t-1,6,0.020563886327391295,5756,1
Liquidity,t-0,7,0.08052672928921813,5748,1
Profitability,t-7,0,0.002656630365846766,9208,1
Profitability,t-6,1,0.0037055390697055095,9246,1
Profitability,t-5,2,0.00212146067730852,9261,1
Profitability,t-4,3,0.0020616452576927816,9260,1
Profitability,t-3,4,0.00279922044078931,9265,1
Profitability,t-2,5,0.002700569661772453,9265,1
Profitability,t-1,6,0.00432050835409192,9270,1
Profitability,t-0,7,0.007020738513289981,9259,1
Leverage,t-7,0,0.008066268700255336,5719,1
Leverage,t-6,1,0.007295704800180788,5757,1
Leverage,t-5,2,0.009949072547437602,5775,1
Leverage,t-4,3,0.011372011442984479,5805,1
Leverage,t-3,4,0.012772288286749034,5783,1
Leverage,t-2,5,0.01218807344524823,5737,1
Leverage,t-1,6,0.017108306294976082,5754,1
Leverage,t-0,7,0.055175039287343755,5737,1
Efficiency,t-7,0,0.009549157447799897,5975,1
Efficiency,t-6,1,0.008373755906895984,6007,1
Efficiency,t-5,2,0.00777724123750898,6041,1
Efficiency,t-4,3,0.009633437295832204,6055,1
Efficiency,t-3,4,0.01151106708771912,6084,1
Efficiency,t-2,5,0.010573226923070769,6096,1
Efficiency,t-1,6,0.014163906260227626,6105,1
Efficiency,t-0,7,0.022985640839940223,6076,1
Growth,t-7,0,0.023578218132992664,5841,1
Growth,t-6,1,0.017798457288455076,5958,1
Growth,t-5,2,0.019922011979402646,6044,1
Growth,t-4,3,0.021414096918736435,6110,1
Growth,t-3,4,0.02106109756285938,6200,1
Growth,t-2,5,0.02123905639646157,6216,1
Growth,t-1,6,0.026880623424341166,6217,1
Growth,t-0,7,0.03441542599167268,6217,1
Cash flow,t-7,0,0.008517697809617104,5465,1
Cash flow,t-6,1,0.00887056355997538,5494,1
Cash flow,t-5,2,0.008123296008905387,5495,1
Cash flow,t-4,3,0.009284790089416125,5502,1
Cash flow,t-3,4,0.008728378868586682,5497,1
Cash flow,t-2,5,0.007466814580451732,5475,1
Cash flow,t-1,6,0.012896614128840519,5479,1
Cash flow,t-0,7,0.020000469139120798,5476,1
Distress flag,t-7,0,0.012151757204489178,1552,1
Distress flag,t-6,1,0.012133286216809473,1553,1
Distress flag,t-5,2,0.011332627053355368,1554,1
Distress flag,t-4,3,0.011866686223678305,1553,1
Distress flag,t-3,4,0.011047603634121262,1553,1
Distress flag,t-2,5,0.011776340013541714,1553,1
Distress flag,t-1,6,0.023887738326634482,1553,1
Distress flag,t-0,7,0.0996744436183533,1553,1
