family,n_features,mean_abs_shap,total_abs_shap,share,horizon
Distress flag,1,0.01904585604731742,0.15236684837853937,0.09844324032519557,1
Growth,4,0.010911308195267356,0.3491618622485554,0.22559123249916022,1
Leverage,5,0.00803225929919225,0.32129037196769006,0.20758364196920456,1
Cash flow,4,0.007339851308270634,0.2348752418646603,0.15175138245215467,1
Liquidity,4,0.005697171637498595,0.18230949239995503,0.11778898995997751,1
Efficiency,5,0.005228166535763756,0.20912666143055023,0.13511539031421696,1
Profitability,6,0.0020548533875970007,0.09863296260465604,0.06372612248009052,1
Cash flow,4,0.08853228322015969,2.83303306304511,0.19561462982868752,4
Distress flag,1,0.0796468188216308,0.6371745505730464,0.043995485076561626,4
Efficiency,5,0.07437234686451763,2.9748938745807054,0.20540980324113803,4
Liquidity,4,0.07329565132892543,2.345460842525614,0.1619488527942478,4
Growth,4,0.06160972600877044,1.971511232280654,0.13612846420195096,4
Leverage,5,0.05986939331815834,2.3947757327263335,0.1653539362426165,4
Profitability,6,0.027622428958056316,1.325876589986703,0.09154882861479745,4
