feature,index,family,mean_abs_shap,is_altman,observed_rate,rank,horizon
r15_ltd_to_ta,14,Leverage,0.04316404335281339,False,0.674198717948718,1,1
r22_net_income_growth,21,Growth,0.0428554490835287,False,0.9833333333333333,2,1
r24_equity_growth,23,Growth,0.04131039892977426,False,0.9807692307692307,3,1
r01_current_ratio,0,Liquidity,0.03441735367078168,False,0.9992788461538461,4,1
r16_asset_turnover,15,Efficiency,0.029115405243984666,True,0.9973557692307692,5,1
r02_quick_ratio,1,Liquidity,0.02644343424516911,False,0.76875,6,1
r29_negative_equity_flag,28,Distress flag,0.024233810286372885,False,0.9955128205128205,7,1
r11_debt_to_equity,10,Leverage,0.015774792334249985,False,0.6220352564102564,8,1
r14_equity_to_liabilities,13,Leverage,0.014075915585311868,True,0.9954326923076923,9,1
r25_ocf_to_cl,24,Cash flow,0.013494004500805408,False,0.9993589743589744,10,1
r27_accrual_quality,26,Cash flow,0.013261109983451286,False,0.9996794871794872,11,1
r26_fcf_to_ta,25,Cash flow,0.012601068900454697,False,0.9092147435897436,12,1
r20_cash_conversion_cycle,19,Efficiency,0.010605628038112611,False,0.5734775641025641,13,1
r03_cash_ratio,2,Liquidity,0.009653635705057537,False,0.9239583333333333,14,1
r19_payables_turnover,18,Efficiency,0.009468862866593385,False,0.7282051282051282,15,1
r12_debt_to_assets,11,Leverage,0.008558057438072923,False,0.6260416666666667,16,1
r07_roe,6,Profitability,0.006652639282143771,False,0.9954326923076923,17,1
r18_receivables_turnover,17,Efficiency,0.005628994016310026,False,0.9294871794871795,18,1
r21_revenue_growth,20,Growth,0.00511544004173667,False,0.9611378205128205,19,1
r17_inventory_turnover,16,Efficiency,0.004285755459371064,False,0.6528044871794871,20,1
r08_ebitda_margin,7,Profitability,0.0039057773381522337,False,0.9681891025641025,21,1
r23_assets_growth,22,Growth,0.003873205792421177,False,0.9852564102564103,22,1
r10_re_to_ta,9,Profitability,0.0034863465103358304,True,0.9907051282051282,23,1
r05_net_profit_margin,4,Profitability,0.0031068178085780877,False,0.9918269230769231,24,1
r28_ocf_to_debt,27,Cash flow,0.0025881287077454745,False,0.6080128205128205,25,1
r13_interest_coverage,12,Leverage,0.0021314192927863996,False,0.7735576923076923,26,1
r06_roa,5,Profitability,0.0017158826543027224,False,0.9997596153846153,27,1
r09_ebit_to_ta,8,Profitability,0.001672270661860285,True,0.9862980769230769,28,1
r04_wc_to_ta,3,Liquidity,0.0015099220938783289,True,0.9992788461538461,29,1
r25_ocf_to_cl,24,Cash flow,0.12037666061296468,False,0.9982555018786903,1,4
r01_current_ratio,0,Liquidity,0.08509442401469738,False,0.9985909822866345,2,4
r20_cash_conversion_cycle,19,Efficiency,0.06207310658504453,False,0.5612587224906066,3,4
r19_payables_turnover,18,Efficiency,0.05339169659482107,False,0.7265834675254965,4,4
r16_asset_turnover,15,Efficiency,0.04941150515433398,True,0.9979200214707461,5,4
r24_equity_growth,23,Growth,0.04809479004056793,False,0.9808105206655932,6,4
r15_ltd_to_ta,14,Leverage,0.047295619873977915,False,0.6855877616747182,7,4
r22_net_income_growth,21,Growth,0.04714884903887105,False,0.9814814814814815,8,4
r26_fcf_to_ta,25,Cash flow,0.046176770843515916,False,0.9125067096081588,9,4
r14_equity_to_liabilities,13,Leverage,0.04234721040095195,True,0.995504562533548,10,4
r29_negative_equity_flag,28,Distress flag,0.04223409491564746,False,0.995504562533548,11,4
r11_debt_to_equity,10,Leverage,0.04175074406317875,False,0.6358024691358025,12,4
r03_cash_ratio,2,Liquidity,0.03681854461497923,False,0.9232420826623725,13,4
r02_quick_ratio,1,Liquidity,0.03668487449184332,False,0.7565754159957059,14,4
r07_roe,6,Profitability,0.028442770531520438,False,0.9951690821256038,15,4
r28_ocf_to_debt,27,Cash flow,0.02790719506349082,False,0.6219806763285024,16,4
r27_accrual_quality,26,Cash flow,0.0263841736016155,False,0.9995303274288782,17,4
r12_debt_to_assets,11,Leverage,0.024607208072095828,False,0.6399624261943102,18,4
r21_revenue_growth,20,Growth,0.024366643156954436,False,0.9628287707997852,19,4
r13_interest_coverage,12,Leverage,0.019895485449756417,False,0.7839506172839507,20,4
r17_inventory_turnover,16,Efficiency,0.013737863696986631,False,0.6428475577026301,21,4
r10_re_to_ta,9,Profitability,0.011723931936357013,True,0.9910762211486849,22,4
r09_ebit_to_ta,8,Profitability,0.010533431532832153,True,0.9898684916800858,23,4
r05_net_profit_margin,4,Profitability,0.010037616863021091,False,0.9948336017176597,24,4
r18_receivables_turnover,17,Efficiency,0.008466510996599485,False,0.9147879763821792,25,4
r08_ebitda_margin,7,Profitability,0.007000904369953513,False,0.9727589908749329,26,4
r23_assets_growth,22,Growth,0.006323893806940871,False,0.9853059581320451,27,4
r06_roa,5,Profitability,0.005961977549460965,False,0.999597423510467,28,4
r04_wc_to_ta,3,Liquidity,0.00560277346814593,True,0.9985909822866345,29,4
