variable,n_missing,rate,train_median
X1,406,0.002907226534528686,0.16225492359619392
X2,3986,0.028542376765101823,0.04189512330416566
X3,1553,0.011120499527396672,0.04586231198628778
X4,1131,0.008098702489044195,0.7035568887936576
X5,1168,0.00836364677913671,0.8101645062749951
SIZE,13,9.308853435682984e-05,20.4146667272252
TLTA,604,0.004325036519348094,0.5805449663372442
WCTA,406,0.002907226534528686,0.16225492359619392
CLCA,411,0.00294302981697362,0.5685661503481597
OENEG,594,0.004253429954458225,0.0
NITA,367,0.002627960931458196,0.02374572788034534
FUTL,1427,0.010218256809784321,0.11479134774357813
INTWO,560,0.00400996763383267,0.0
CHIN,570,0.0040815741987225386,0.01776828366496048
CACL,401,0.002871423252083751,1.7585152292361592
