trial,arch,lr,batch_size,dropout,weight_decay,val_pr_auc,epochs_run,seconds,is_spec_default
0,bilstm,0.001,32,0.3,0.0,0.1727758589806948,12,74.02370019999216,True
1,bilstm,0.004564399055840275,256,0.2,0.0,0.29932031221103617,15,16.16205300000729,False
2,bilstm,0.00027836048114898324,256,0.1,1e-05,0.0778491202502543,15,16.783396100014215,False
3,bilstm,0.0001587206606823287,256,0.2,0.001,0.05394527869560842,15,17.179566299979342,False
4,bilstm,0.004344519184930514,64,0.5,1e-05,0.2901590895842733,15,47.517397599993274,False
5,bilstm,0.000561379013614412,64,0.4,0.001,0.05485334252033821,15,47.793341700016754,False
6,bilstm,0.0029342585157723557,256,0.3,0.0001,0.21039321607703235,15,16.704504199995426,False
7,bilstm,0.0013216203701503452,32,0.4,0.0001,0.15437194818732544,11,69.79376760000014,False
8,bilstm,0.00019603575358382731,32,0.4,0.001,0.0465391952912115,8,51.270478999998886,False
9,bilstm,0.0001265242511922246,32,0.4,0.0,0.14559704449177702,15,91.2818924000021,False
10,bilstm,0.0010916947506150927,128,0.3,0.0,0.1631241282719672,15,24.99553100002231,False
11,bilstm,0.004583536214102075,64,0.3,1e-05,0.2553281128954658,15,47.498381400015205,False
12,bilstm,0.00010123289633013626,128,0.4,1e-05,0.05822772406634459,15,25.63223950000247,False
13,bilstm,0.0028744152094248555,64,0.3,0.0,0.26836263797789556,15,46.31729499998619,False
14,bilstm,0.0036857321257003583,128,0.4,0.0,0.2752908789138335,15,24.50152980000712,False
15,bilstm,0.004850859181621986,64,0.1,0.001,0.08432752181530787,11,36.93892389998655,False
16,bilstm,0.00014047909631078305,256,0.5,1e-05,0.05621124705682353,15,16.74346890000743,False
17,bilstm,0.002561107362345826,256,0.2,0.001,0.11459502295390213,15,17.215150100004394,False
18,bilstm,0.004559345162620435,256,0.2,0.001,0.08855671590935534,15,17.55193029998918,False
19,bilstm,0.0005789256376730224,256,0.2,0.001,0.07455528169462837,15,17.494682999997167,False
20,bilstm,0.0001434213093560108,64,0.4,0.0,0.09494703853071862,15,46.6425137000042,False
21,bilstm,0.0008158492931137243,32,0.4,0.0,0.19718366149169747,15,92.16645319998497,False
22,bilstm,0.0003303974174112225,64,0.4,0.001,0.05211765637209557,13,41.826143499987666,False
23,bilstm,0.0018879216212602324,64,0.3,0.0,0.2461894443465999,15,46.74464930000249,False
24,bilstm,0.0018535552712323172,64,0.2,0.001,0.10457538909273588,15,47.15827280000667,False
25,bilstm,0.00031524655077433536,32,0.4,0.0001,0.1311872517006788,15,95.77588070000638,False
26,bilstm,0.0032146534419750924,256,0.2,0.0,0.30831896605921943,15,15.678803899994818,False
27,bilstm,0.0007426875391598964,128,0.4,0.0001,0.17217396219422126,15,25.482741899992106,False
28,bilstm,0.0005863517713207004,64,0.2,0.0001,0.16755534503046288,15,47.87654600001406,False
29,bilstm,0.004782560454855146,256,0.1,0.0001,0.18991243433860644,15,16.735667800006922,False
