trial,arch,lr,batch_size,dropout,weight_decay,val_pr_auc,epochs_run,seconds,is_spec_default
0,cnn_lstm_attn,0.001,32,0.3,0.0,0.20016968701947513,15,105.86278090000269,True
1,cnn_lstm_attn,0.004564399055840275,256,0.2,0.0,0.14521745676758688,15,14.826254599989625,False
2,cnn_lstm_attn,0.00027836048114898324,256,0.1,1e-05,0.09221924657395322,15,14.653245299996343,False
3,cnn_lstm_attn,0.0001587206606823287,256,0.2,0.001,0.05721022163440593,15,14.207125399989309,False
4,cnn_lstm_attn,0.004344519184930514,64,0.5,1e-05,0.13155006524228507,11,40.75336179998703,False
5,cnn_lstm_attn,0.000561379013614412,64,0.4,0.001,0.08776263966901468,15,53.363172099983785,False
6,cnn_lstm_attn,0.0029342585157723557,256,0.3,0.0001,0.1760741178912776,15,14.087397800001781,False
7,cnn_lstm_attn,0.0013216203701503452,32,0.4,0.0001,0.13011263055108566,15,103.55205650001881,False
8,cnn_lstm_attn,0.00019603575358382731,32,0.4,0.001,0.04997433867476306,15,108.17680489999475,False
9,cnn_lstm_attn,0.0001265242511922246,32,0.4,0.0,0.09079537499496816,15,101.88008730000001,False
10,cnn_lstm_attn,0.0010916947506150927,128,0.3,0.0,0.1913612821886348,15,27.181928899983177,False
11,cnn_lstm_attn,0.004583536214102075,64,0.3,1e-05,0.1442503811314466,15,52.785104600014165,False
12,cnn_lstm_attn,0.00010123289633013626,128,0.4,1e-05,0.050578287699751916,15,26.980288199993083,False
13,cnn_lstm_attn,0.0028744152094248555,64,0.3,0.0,0.21346466150479632,13,44.83217730000615,False
14,cnn_lstm_attn,0.0036857321257003583,128,0.4,0.0,0.1642491245790004,15,25.9398644999892,False
15,cnn_lstm_attn,0.004850859181621986,64,0.1,0.001,0.04564752362776459,11,41.62168549999478,False
16,cnn_lstm_attn,0.00014047909631078305,256,0.5,1e-05,0.05578424435644859,15,14.738633900007699,False
17,cnn_lstm_attn,0.002561107362345826,256,0.2,0.001,0.15218135097874355,15,14.931855800008634,False
18,cnn_lstm_attn,0.004559345162620435,256,0.2,0.001,0.11613973226094676,15,15.120315500011202,False
19,cnn_lstm_attn,0.0005789256376730224,256,0.2,0.001,0.09743346413523739,15,14.45744550001109,False
20,cnn_lstm_attn,0.0001434213093560108,64,0.4,0.0,0.09052993621265147,15,52.40113700000802,False
21,cnn_lstm_attn,0.0008158492931137243,32,0.4,0.0,0.1262040110058053,12,80.04940469999565,False
22,cnn_lstm_attn,0.0003303974174112225,64,0.4,0.001,0.07539831844213887,15,54.15195030000177,False
23,cnn_lstm_attn,0.0018879216212602324,64,0.3,0.0,0.13160773713401888,13,45.52161610001349,False
24,cnn_lstm_attn,0.0018535552712323172,64,0.2,0.001,0.07770878597546059,11,38.8111804999935,False
25,cnn_lstm_attn,0.00031524655077433536,32,0.4,0.0001,0.1714343818029428,15,106.92961399999331,False
26,cnn_lstm_attn,0.0032146534419750924,256,0.2,0.0,0.13999588414645556,15,14.351658900006441,False
27,cnn_lstm_attn,0.0007426875391598964,128,0.4,0.0001,0.1545172970347328,15,27.50791419998859,False
28,cnn_lstm_attn,0.0005863517713207004,64,0.2,0.0001,0.15037276977345002,15,53.49436709997826,False
29,cnn_lstm_attn,0.004782560454855146,256,0.1,0.0001,0.1875904935203245,15,14.320052199997008,False
