trial,model,n_estimators,max_depth,min_samples_leaf,max_features,val_pr_auc,seconds,is_default
0,random_forest,300,,1,sqrt,0.5749426236286492,0.5868297999841161,True
1,random_forest,300,6.0,5,0.3,0.5143962055303838,0.715749200026039,False
2,random_forest,300,16.0,1,sqrt,0.5093062521903559,0.6094921000185423,False
3,random_forest,300,6.0,1,0.3,0.5054637262682872,0.755529399990337,False
4,random_forest,100,16.0,5,sqrt,0.554866020740872,0.23081290000118315,False
5,random_forest,200,10.0,5,0.1,0.413260963806267,0.3911069000023417,False
6,random_forest,300,,50,sqrt,0.3519486133656078,0.5708470999961719,False
7,random_forest,200,,1,sqrt,0.5797626846215047,0.4375276000064332,False
8,random_forest,200,16.0,20,0.3,0.6306347573936741,0.5393760000006296,False
9,random_forest,100,,50,sqrt,0.3650760602572216,0.22539470001356676,False
10,random_forest,100,10.0,20,sqrt,0.4623089221584526,0.21084850002080202,False
11,random_forest,100,16.0,50,0.3,0.5251886647533268,0.2610421999997925,False
12,random_forest,300,10.0,5,0.3,0.6161022029657806,0.767891099996632,False
13,random_forest,100,10.0,1,sqrt,0.40479335957325424,0.21308570000110194,False
14,random_forest,100,,1,0.1,0.5502395409205323,0.2136426999932155,False
15,random_forest,300,10.0,20,sqrt,0.44626801075460987,0.6148956000106409,False
16,random_forest,200,6.0,50,sqrt,0.3439154432626137,0.39424870000220835,False
17,random_forest,300,,1,0.1,0.5367977408201945,0.5670733000151813,False
18,random_forest,300,6.0,20,sqrt,0.3695850239157665,0.5732749000017066,False
19,random_forest,300,16.0,20,0.1,0.39132792801196836,0.547860499995295,False
20,random_forest,300,10.0,5,0.1,0.40021125986600087,0.55432500000461,False
21,random_forest,200,,5,0.1,0.4787988588972205,0.39678370000910945,False
22,random_forest,100,10.0,1,0.1,0.36162700101700257,0.2345725000195671,False
23,random_forest,300,,5,sqrt,0.5527387342169174,0.6051899000012781,False
24,random_forest,200,16.0,1,0.1,0.44531537047172587,0.40376230000401847,False
25,random_forest,300,16.0,5,sqrt,0.5434650171365432,0.611674599989783,False
26,random_forest,200,10.0,20,sqrt,0.4559809458050369,0.3971249999885913,False
27,random_forest,200,6.0,50,0.3,0.5047719412580147,0.4880272999871522,False
28,random_forest,300,,20,0.3,0.6322675762987279,0.756985199986957,False
29,random_forest,100,6.0,50,0.1,0.3116130027169626,0.20428209999226965,False
