trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.8584547142421568,1.1584992999851238,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.856638309894287,0.6772459000058006,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.8037966230960703,0.5567090999975335,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.8585218146251687,0.5871539000072517,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.7996182456260958,0.4845785000070464,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.8543799828207557,1.3484069000114687,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.8312611809485244,0.6399764000088908,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.8298544559332315,0.425516899995273,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.836319795163554,0.8618365000002086,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.8606275634130722,0.6437532000127248,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.8212209582794071,0.8751789999951143,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.8234361749937057,0.6908222000056412,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.8122415989999839,0.46147959999507293,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.8345821638944393,1.2306634999986272,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.7751603073373472,0.6991825999866705,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.8772732243489701,0.884739900007844,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.8688076994382451,1.3139358999906108,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.8656795596984891,2.6566647999861743,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.8426795853708084,1.629606700007571,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.7698900134610406,0.7509742999973241,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.8545099932828887,2.199219800007995,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.8590738719943681,1.3213781999947969,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.8515719898859985,2.335702200012747,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.8092363491940714,1.1534402999968734,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.8612994627944894,1.017832300014561,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.8277911613779754,0.6720540999958757,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.8590975767928725,1.4654063000052702,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.7907001816098425,0.5485709000204224,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.7807870417370698,0.4810501000029035,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.8441021470220883,0.7652367999835405,False
