trial,model,n_estimators,max_depth,min_samples_leaf,max_features,val_pr_auc,seconds,is_default
0,random_forest,300,,1,sqrt,0.4822296917403033,0.5335769999946933,True
1,random_forest,300,6.0,5,0.3,0.46922839237948016,0.72390829998767,False
2,random_forest,300,16.0,1,sqrt,0.45186119417374454,0.5496923000027891,False
3,random_forest,300,6.0,1,0.3,0.46776533630196804,0.7035887999809347,False
4,random_forest,100,16.0,5,sqrt,0.4788827015558411,0.22435940001741983,False
5,random_forest,200,10.0,5,0.1,0.4846711303824125,0.3716619000188075,False
6,random_forest,300,,50,sqrt,0.47603904541174974,0.5045388999860734,False
7,random_forest,200,,1,sqrt,0.49135894806841707,0.40295050002168864,False
8,random_forest,200,16.0,20,0.3,0.4845364911019386,0.4953082999854814,False
9,random_forest,100,,50,sqrt,0.48503851223952865,0.19534639999619685,False
10,random_forest,100,10.0,20,sqrt,0.4986736607518037,0.2004010999808088,False
11,random_forest,100,16.0,50,0.3,0.47651667133479614,0.2760272999876179,False
12,random_forest,300,10.0,5,0.3,0.4988378498091981,0.7294213999994099,False
13,random_forest,100,10.0,1,sqrt,0.44892170799541387,0.2848422999959439,False
14,random_forest,100,,1,0.1,0.48185914708579636,0.2136430999962613,False
15,random_forest,300,10.0,20,sqrt,0.4678696259417239,0.5247691000113264,False
16,random_forest,200,6.0,50,sqrt,0.4810202133273541,0.36280709999846295,False
17,random_forest,300,,1,0.1,0.4822296917403033,0.552159799990477,False
18,random_forest,300,6.0,20,sqrt,0.47939555087863334,0.5304159999941476,False
19,random_forest,300,16.0,20,0.1,0.46774666123324543,0.5339357999910135,False
20,random_forest,300,10.0,5,0.1,0.4748997465679372,0.5228000000061002,False
21,random_forest,200,,5,0.1,0.4866562506630623,0.3884276000026148,False
22,random_forest,100,10.0,1,0.1,0.44892170799541387,0.2171950000047218,False
23,random_forest,300,,5,sqrt,0.4916613458461223,0.5414901999756694,False
24,random_forest,200,16.0,1,0.1,0.4541790745338815,0.3889898999768775,False
25,random_forest,300,16.0,5,sqrt,0.4924959416664126,0.5333237999875564,False
26,random_forest,200,10.0,20,sqrt,0.46513952770162237,0.35804920000373386,False
27,random_forest,200,6.0,50,0.3,0.47875387768598315,0.49008250000770204,False
28,random_forest,300,,20,0.3,0.48869774456321324,0.7110727000108454,False
29,random_forest,100,6.0,50,0.1,0.4737756669609151,0.20127530000172555,False
