trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.5534538513323272,1.1875247999851126,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.545383653646725,0.7233285000256728,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.4908480994751885,0.5379719999909867,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.5221812988757588,0.6391996000020299,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.5200458611297538,0.5200619999959599,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.5197991727628889,1.4429952999926172,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.5550663642864757,0.6890539999876637,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.484206091506899,0.4636661999975331,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.5929427769329731,1.0052671000012197,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.5476102199717596,0.6671897000051104,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.572526710245045,0.945001800020691,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.5437005854943099,0.7184316999919247,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.5065885294402644,0.4801072000118438,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.5522898429886135,1.038999699987471,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.5005966718299912,0.648775099980412,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.5319906872002658,0.8833165999967605,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.5250015689621488,1.2967579999822192,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.5386705615909186,2.497266199992737,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.5232483172406956,1.5331178000196815,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.5221392726485011,0.7309524000156671,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.5636475614698305,2.126181900006486,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.5207013929032318,1.1000168999889866,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.5450432112804489,2.261430999991717,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.5402673979357329,1.3040448000247125,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.5238244536177181,1.0371171000006143,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.49342398978514124,0.6676481000031345,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.5464964526624189,1.431662500021048,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.5094842234106494,0.5938601999951061,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.490448028232887,0.5205849999911152,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.514741365895141,0.7897470000025351,False
