trial,arch,lr,batch_size,dropout,weight_decay,val_pr_auc,epochs_run,seconds,is_spec_default
0,lstm,0.001,32,0.3,0.0,0.18220983907709348,15,93.71862109997892,True
1,lstm,0.004564399055840275,256,0.2,0.0,0.25630076216906106,15,13.59006310001132,False
2,lstm,0.00027836048114898324,256,0.1,1e-05,0.06818009269038591,15,14.314939100004267,False
3,lstm,0.0001587206606823287,256,0.2,0.001,0.04399786762900368,11,10.389449199981755,False
4,lstm,0.004344519184930514,64,0.5,1e-05,0.2679378288117131,15,48.653553600015584,False
5,lstm,0.000561379013614412,64,0.4,0.001,0.09426348344531009,15,47.958394899993436,False
6,lstm,0.0029342585157723557,256,0.3,0.0001,0.2001579180197455,15,14.14602179999929,False
7,lstm,0.0013216203701503452,32,0.4,0.0001,0.21276999416349207,15,94.78439859999344,False
8,lstm,0.00019603575358382731,32,0.4,0.001,0.0449399246993291,15,93.95245630000136,False
9,lstm,0.0001265242511922246,32,0.4,0.0,0.08761262332918715,15,95.87679609999759,False
10,lstm,0.0010916947506150927,128,0.3,0.0,0.19573733955804226,15,25.10106790001737,False
11,lstm,0.004583536214102075,64,0.3,1e-05,0.2974908901945734,15,47.449974499992095,False
12,lstm,0.00010123289633013626,128,0.4,1e-05,0.04385393159086177,15,25.1644479999959,False
13,lstm,0.0028744152094248555,64,0.3,0.0,0.3000008830704807,15,47.175190800015116,False
14,lstm,0.0036857321257003583,128,0.4,0.0,0.21556219115187622,15,25.08918760000961,False
15,lstm,0.004850859181621986,64,0.1,0.001,0.07328354620651444,11,35.00626570000895,False
16,lstm,0.00014047909631078305,256,0.5,1e-05,0.04317471510155443,15,14.059488900005817,False
17,lstm,0.002561107362345826,256,0.2,0.001,0.08770320185500843,15,14.086724499997217,False
18,lstm,0.004559345162620435,256,0.2,0.001,0.1301057727376169,15,13.934730500011938,False
19,lstm,0.0005789256376730224,256,0.2,0.001,0.0683382856218171,15,14.249451199983014,False
20,lstm,0.0001434213093560108,64,0.4,0.0,0.08108273925196988,15,46.39379729999928,False
21,lstm,0.0008158492931137243,32,0.4,0.0,0.18225183773054945,15,96.58634089998668,False
22,lstm,0.0003303974174112225,64,0.4,0.001,0.07268562852447065,15,48.71379949999391,False
23,lstm,0.0018879216212602324,64,0.3,0.0,0.3081125889397597,15,47.03550159998122,False
24,lstm,0.0018535552712323172,64,0.2,0.001,0.11665137261031316,15,47.469190500007244,False
25,lstm,0.00031524655077433536,32,0.4,0.0001,0.13996633028268507,15,94.21381409998867,False
26,lstm,0.0032146534419750924,256,0.2,0.0,0.2862394193648468,15,13.598544799984666,False
27,lstm,0.0007426875391598964,128,0.4,0.0001,0.21235222828979403,15,26.06394129997352,False
28,lstm,0.0005863517713207004,64,0.2,0.0001,0.16539689585906614,15,49.913932100025704,False
29,lstm,0.004782560454855146,256,0.1,0.0001,0.14777532915448738,15,14.09563649998745,False
