trial,model,n_estimators,max_depth,min_samples_leaf,max_features,val_pr_auc,seconds,is_default
0,random_forest,300,,1,sqrt,0.15083273511059833,8.696802199992817,True
1,random_forest,300,6.0,5,0.3,0.07480933559977274,29.853987100010272,False
2,random_forest,300,16.0,1,sqrt,0.0967274853998785,9.162118300009752,False
3,random_forest,300,6.0,1,0.3,0.0744400718655426,31.39618720000726,False
4,random_forest,100,16.0,5,sqrt,0.1112206233707491,3.1993273999833036,False
5,random_forest,200,10.0,5,0.1,0.07819737586295065,9.250692200002959,False
6,random_forest,300,,50,sqrt,0.1325521720317983,9.180761399999028,False
7,random_forest,200,,1,sqrt,0.1459720625596716,6.788561099994695,False
8,random_forest,200,16.0,20,0.3,0.08617582332590723,29.28669780000928,False
9,random_forest,100,,50,sqrt,0.13228977713262743,3.3285620999813545,False
10,random_forest,100,10.0,20,sqrt,0.10210328458185722,3.190264099976048,False
11,random_forest,100,16.0,50,0.3,0.10394606387238636,15.207109699986177,False
12,random_forest,300,10.0,5,0.3,0.07996846626879431,42.02846800000407,False
13,random_forest,100,10.0,1,sqrt,0.08386860669007146,3.3238094999978784,False
14,random_forest,100,,1,0.1,0.11300668951683886,5.644483999989461,False
15,random_forest,300,10.0,20,sqrt,0.09544090095321776,9.5560232999851,False
16,random_forest,200,6.0,50,sqrt,0.08268028880482553,5.070976900024107,False
17,random_forest,300,,1,0.1,0.12892003000278068,15.769282499997644,False
18,random_forest,300,6.0,20,sqrt,0.07863060725653116,7.412421200016979,False
19,random_forest,300,16.0,20,0.1,0.09847022022198633,14.813459299999522,False
20,random_forest,300,10.0,5,0.1,0.0767612700939592,14.214575999998488,False
21,random_forest,200,,5,0.1,0.16320046494996776,10.685476400016341,False
22,random_forest,100,10.0,1,0.1,0.07097919163866792,4.879765400022734,False
23,random_forest,300,,5,sqrt,0.1716160493718692,10.26137990001007,False
24,random_forest,200,16.0,1,0.1,0.09694070659964478,10.153240099985851,False
25,random_forest,300,16.0,5,sqrt,0.0975992611260523,9.626521600002889,False
26,random_forest,200,10.0,20,sqrt,0.10862019966950642,6.476669700001366,False
27,random_forest,200,6.0,50,0.3,0.0826718436395528,22.519383200007724,False
28,random_forest,300,,20,0.3,0.14741255396585853,46.55286119997618,False
29,random_forest,100,6.0,50,0.1,0.08041803197618602,3.728100499982247,False
