trial,model,n_components,gamma,alpha,val_pr_auc,seconds,is_default
0,svm_rbf,256,0.001,1e-05,0.013580830165430347,5.604901099985,True
1,svm_rbf,512,0.026623054261608093,1.3553376105961495e-05,0.026684355699315283,9.370264900004258,False
2,svm_rbf,128,0.00023437676426833995,2.3319964098159124e-07,0.016699623705706157,2.1193884999956936,False
3,svm_rbf,128,0.0001442923443866321,0.00031891420614307825,0.023956877222088353,1.71939330000896,False
4,svm_rbf,512,0.003283740010313646,1.1227362110080574e-06,0.020829327824779247,7.7084928000112996,False
5,svm_rbf,256,0.0017391605717450665,0.00014343243086330218,0.032521926904999644,2.5874921000213362,False
6,svm_rbf,256,0.0005073942345981978,0.00026479368529597127,0.02969293748936519,2.9062872999929823,False
7,svm_rbf,128,0.005684226629125955,0.00021433714952046005,0.029899036362545393,1.6660507000051439,False
8,svm_rbf,128,0.04106344973847806,9.794608404788753e-07,0.014922492723238569,2.497208500019042,False
9,svm_rbf,128,0.00013762356472092567,3.8954641734724856e-05,0.026415183084680816,3.10684239998227,False
10,svm_rbf,256,0.07700538565070857,3.8068462564065858e-06,0.01211982657858457,6.132077000016579,False
11,svm_rbf,256,0.0006827089960916017,7.75814764386332e-07,0.0063707163644742305,4.378400000015972,False
12,svm_rbf,512,0.039974907060172364,9.004942507682611e-06,0.018074916408578834,10.266304399992805,False
13,svm_rbf,512,0.0007240128282665165,6.712150691649603e-05,0.03466766947889728,5.1400820999988355,False
14,svm_rbf,128,0.0009890524983023718,1.0781580861319985e-07,0.0182190418935652,2.0687730999779887,False
15,svm_rbf,512,0.0015745272725595698,1.365761371232184e-06,0.02106930684172528,7.5072565999871586,False
16,svm_rbf,128,0.0011007808095631697,1.6389844615307802e-06,0.005239376749864148,2.0198357999906875,False
17,svm_rbf,128,0.03102658487345214,0.0007707598738079134,0.020782620696919094,1.0491521999938414,False
18,svm_rbf,512,0.0025984021239363075,1.1370773634955702e-06,0.013250160759650463,6.575744999980088,False
19,svm_rbf,512,0.00023322445270275303,1.1608187830566494e-07,0.01512844051357527,7.714990600012243,False
20,svm_rbf,128,0.01591267845162344,4.182348088142934e-06,0.019326945587790485,3.4619653999980073,False
21,svm_rbf,512,0.0023468895651074058,0.00034205534934475404,0.03845047330446269,4.6974454000010155,False
22,svm_rbf,256,0.0010298048449119705,1.0939114051296198e-06,0.006512138062077059,4.4182123000209685,False
23,svm_rbf,128,0.02801963401094016,7.004698255143189e-07,0.017514176348233452,2.488358900009189,False
24,svm_rbf,256,0.013760761930185784,4.366388080690396e-06,0.03100465943142411,6.496162199997343,False
25,svm_rbf,512,0.0001882548859797754,2.7257710800589475e-06,0.0185117217847739,4.85778439999558,False
26,svm_rbf,256,0.0007338316046813843,4.7595576645717023e-07,0.018462324597706532,4.459847400023136,False
27,svm_rbf,512,0.07177915114668257,0.00016828716997794807,0.021527416284873285,5.661910399998305,False
28,svm_rbf,512,0.0004169804843002531,1.4112533636292559e-05,0.032082985062201974,10.139142900006846,False
29,svm_rbf,512,0.004283598448312287,9.156392629328054e-06,0.0176952304276233,5.3841711999848485,False
