trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.2536222307658029,4.621635699993931,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.23748562211119895,3.329841500002658,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.15141365462208017,4.064951100008329,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.19880338505466885,3.7399096000008285,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.18359080519434723,2.8334917000029236,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.23329325646851726,9.021371699986048,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.18510923782472763,3.893809400004102,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.18997952559257558,2.822647000022698,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.2243807482409462,4.890064599981997,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.2105470445118885,4.396945099986624,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.214746794894976,5.536522599984892,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.174626717455707,4.440432800009148,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.20404016624661528,3.3227328000066336,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.2604434585681911,10.606747699988773,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.14808315935820215,5.728373700025259,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.2340341368187434,5.9333399000170175,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.20482518520223852,8.321964799979469,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.2518116955361739,18.84972229998675,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.21118862889622578,11.635841899988009,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.1688015565741487,5.205911199998809,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.22859600115881687,17.2767641999817,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.2609775610729584,8.955449000000954,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.25086342071542966,15.123212200007401,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.18984477235104755,6.940419099992141,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.2902571874357027,7.992107999976724,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.23078257935096272,5.056034099980025,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.2748632260590189,12.684848300006706,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.16906610044754594,3.87797309999587,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.1815390491752077,5.369312800001353,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.2005360777183565,4.989013899990823,False
