trial,arch,lr,batch_size,dropout,weight_decay,val_pr_auc,epochs_run,seconds,is_spec_default
0,mlp,0.001,32,0.3,0.0,0.14109521410887563,15,58.57158319998416,True
1,mlp,0.004564399055840275,256,0.2,0.0,0.12642832617310204,15,7.825822899991181,False
2,mlp,0.00027836048114898324,256,0.1,1e-05,0.08650702157974043,15,8.481386100000236,False
3,mlp,0.0001587206606823287,256,0.2,0.001,0.07109418465143376,15,8.354822699999204,False
4,mlp,0.004344519184930514,64,0.5,1e-05,0.09087848477432375,15,28.84895129999495,False
5,mlp,0.000561379013614412,64,0.4,0.001,0.10661482640681066,15,29.67568260000553,False
6,mlp,0.0029342585157723557,256,0.3,0.0001,0.12258206326713966,12,6.736545299994759,False
7,mlp,0.0013216203701503452,32,0.4,0.0001,0.12805629715927877,15,59.15609280002536,False
8,mlp,0.00019603575358382731,32,0.4,0.001,0.08563467906990012,15,57.36071069998434,False
9,mlp,0.0001265242511922246,32,0.4,0.0,0.08928708164437349,15,62.529120799998054,False
10,mlp,0.0010916947506150927,128,0.3,0.0,0.10877531198308492,15,15.342927799996687,False
11,mlp,0.004583536214102075,64,0.3,1e-05,0.08024087635842664,9,16.54138349997811,False
12,mlp,0.00010123289633013626,128,0.4,1e-05,0.057698315009610715,15,14.777912599995034,False
13,mlp,0.0028744152094248555,64,0.3,0.0,0.1061061948478095,10,20.912862099998165,False
14,mlp,0.0036857321257003583,128,0.4,0.0,0.11204509424844347,7,7.044878300017444,False
15,mlp,0.004850859181621986,64,0.1,0.001,0.08154934008699438,9,16.603677400009474,False
16,mlp,0.00014047909631078305,256,0.5,1e-05,0.054851709264568324,15,8.195223999995505,False
17,mlp,0.002561107362345826,256,0.2,0.001,0.09517922591881024,11,6.265392100001918,False
18,mlp,0.004559345162620435,256,0.2,0.001,0.1156103421338158,15,8.568398400006117,False
19,mlp,0.0005789256376730224,256,0.2,0.001,0.07889735867210762,11,6.152261799987173,False
20,mlp,0.0001434213093560108,64,0.4,0.0,0.08572409999786545,15,27.66758320000372,False
21,mlp,0.0008158492931137243,32,0.4,0.0,0.12279290020889537,15,57.04947420000099,False
22,mlp,0.0003303974174112225,64,0.4,0.001,0.09262861614593954,15,30.52505649998784,False
23,mlp,0.0018879216212602324,64,0.3,0.0,0.13792312065288212,15,28.3639009000035,False
24,mlp,0.0018535552712323172,64,0.2,0.001,0.10563493087270936,15,29.63702920000651,False
25,mlp,0.00031524655077433536,32,0.4,0.0001,0.1035402943995799,15,62.28664430000936,False
26,mlp,0.0032146534419750924,256,0.2,0.0,0.17176033860603127,15,8.38694550000946,False
27,mlp,0.0007426875391598964,128,0.4,0.0001,0.10769116685455106,15,14.844796799996402,False
28,mlp,0.0005863517713207004,64,0.2,0.0001,0.11764824377571588,15,28.32729269997799,False
29,mlp,0.004782560454855146,256,0.1,0.0001,0.11330070043033069,14,7.7401258000172675,False
