trial,arch,lr,batch_size,dropout,weight_decay,val_pr_auc,epochs_run,seconds,is_spec_default
0,mlp,0.001,32,0.3,0.0,0.07497533630824307,13,49.62305650000053,True
1,mlp,0.004564399055840275,256,0.2,0.0,0.056830167102566595,9,5.000821000008727,False
2,mlp,0.00027836048114898324,256,0.1,1e-05,0.030261368903658086,15,8.467485300003318,False
3,mlp,0.0001587206606823287,256,0.2,0.001,0.02198687723843382,15,8.40234309999505,False
4,mlp,0.004344519184930514,64,0.5,1e-05,0.08217924220638091,15,27.856373500006157,False
5,mlp,0.000561379013614412,64,0.4,0.001,0.040322065323623396,15,29.96032950001245,False
6,mlp,0.0029342585157723557,256,0.3,0.0001,0.051431841138671705,15,8.33047980000265,False
7,mlp,0.0013216203701503452,32,0.4,0.0001,0.06825763743966719,11,42.18146959999285,False
8,mlp,0.00019603575358382731,32,0.4,0.001,0.027483637505806232,15,57.19782290000876,False
9,mlp,0.0001265242511922246,32,0.4,0.0,0.031500127537600724,15,60.61297670000931,False
10,mlp,0.0010916947506150927,128,0.3,0.0,0.062057845555040715,15,14.610425699996995,False
11,mlp,0.004583536214102075,64,0.3,1e-05,0.07999362572621369,15,28.026307200008887,False
12,mlp,0.00010123289633013626,128,0.4,1e-05,0.02084277769612814,15,15.896273999998812,False
13,mlp,0.0028744152094248555,64,0.3,0.0,0.09430374219846367,15,29.42269639999722,False
14,mlp,0.0036857321257003583,128,0.4,0.0,0.09405453662338455,15,14.96632249999675,False
15,mlp,0.004850859181621986,64,0.1,0.001,0.039530128902369115,8,15.900869000004604,False
16,mlp,0.00014047909631078305,256,0.5,1e-05,0.02001059317351375,15,8.583747600001516,False
17,mlp,0.002561107362345826,256,0.2,0.001,0.05102565824084123,15,8.374461300001713,False
18,mlp,0.004559345162620435,256,0.2,0.001,0.06549632362876816,15,8.410160500003258,False
19,mlp,0.0005789256376730224,256,0.2,0.001,0.03899692024073428,15,8.334922399997595,False
20,mlp,0.0001434213093560108,64,0.4,0.0,0.02760240210127264,15,28.714828600001056,False
21,mlp,0.0008158492931137243,32,0.4,0.0,0.06293475929706464,11,42.71994100000302,False
22,mlp,0.0003303974174112225,64,0.4,0.001,0.039013666969107165,15,28.84495679999236,False
23,mlp,0.0018879216212602324,64,0.3,0.0,0.07024084041749164,15,27.494823800006998,False
24,mlp,0.0018535552712323172,64,0.2,0.001,0.04167831259911232,8,16.165761799988104,False
25,mlp,0.00031524655077433536,32,0.4,0.0001,0.046216008743515516,15,61.72911610000301,False
26,mlp,0.0032146534419750924,256,0.2,0.0,0.06994051315624768,15,8.456769299998996,False
27,mlp,0.0007426875391598964,128,0.4,0.0001,0.05218707756143734,15,14.665379500002018,False
28,mlp,0.0005863517713207004,64,0.2,0.0001,0.055235100878424225,15,29.788590099997236,False
29,mlp,0.004782560454855146,256,0.1,0.0001,0.06145680587220117,15,8.71081299999787,False
