trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.07343393392186735,0.8797763000184204,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.11866611859305469,0.8058632999891415,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.07334172247294496,0.708399900002405,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.08639374521104971,0.6508360000152607,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.067731390411326,0.5792061999964062,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.09048791599713456,1.3609276000061072,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.08360876387705564,0.7758010000106879,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.08273081071175693,0.5207305000221822,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.08892535278608275,0.8225166999909561,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.09973610117302342,0.6647228999936488,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.09513696800054297,0.6876361999893561,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.07180262396539087,0.8299475999956485,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.06843344167036995,0.5690474000002723,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.10798187308884945,1.8023333999735769,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.07760355799587908,0.6779856000212021,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.10619436197963958,0.8761406000121497,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.08142575272617456,1.3136139999842271,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.09191190750328931,1.9617420999857131,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.0867881299032171,1.3436389999988023,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.07289396872731264,0.7591264999937266,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.08027361488749912,1.8582289000041783,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.09015103967753348,1.3341221000009682,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.08057916446153923,1.9121194999897853,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.1044211946774753,0.8448347999947146,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.07405215999089074,1.2887768000073265,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.09819515728258016,0.8410206999978982,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.09798538413594671,1.7724446000065655,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.07631964325287136,0.4756250999926124,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.07477755843474863,0.5766166999819688,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.07276124470619061,0.7623180999944452,False
