trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.2368269905265639,1.7160894999979064,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.2544256153618741,1.416408599994611,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.20687297202201266,1.5965758000093047,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.22395616528757195,1.4011187000141945,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.20890136640732046,1.01495569999679,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.21478589173464635,3.0461219000280835,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.19717922884665864,1.3984848999825772,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.21694705481335613,0.9511975000204984,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.2162132988448788,1.5823601000010967,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.22145022470491782,1.3402007000113372,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.17174720272235103,1.657691700005671,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.20482742106457802,1.4216558000189252,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.16387604287825036,1.0037730000040028,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.2569651454910293,3.4477151000173762,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.14029362074042068,1.6411699999880511,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.2227182573879093,1.6790452999994159,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.22773938039759675,2.4328665000211913,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.2433556600083636,4.9146328999777324,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.20883749428141768,3.1105249999964144,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.15200159661369733,1.4417806999990717,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.21855264691918133,4.518994200014276,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.25180726935285946,2.6321000999887474,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.23418881318101295,4.296438599994872,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.20513459049664326,1.843892800010508,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.26831104161196123,2.457450099987909,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.24899251187823443,1.542549700010568,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.26165561371971663,3.729352199996356,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.11975716203690341,1.0224573999876156,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.1545512805879835,1.0487877000123262,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.19703069788568106,1.455643900000723,False
