trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.08664434242718662,1.5917293000093196,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.0749153089768285,1.1180301000131294,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.10990060924481751,0.9430672000162303,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.09650438694227677,0.9045330999942962,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.06496257123703719,0.8265911999915261,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.0736709674741724,1.737707299995236,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.09718905459146657,1.1480430999945384,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.10313999135875829,0.7929745000146795,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.08570604520391797,1.2317668999894522,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.08759360991510035,0.893532599991886,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.05980938451846922,0.9746503999922425,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.07480863444495785,1.2505897000082768,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.06850950513111397,0.8881865000003017,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.10024451826131302,2.3728316000197083,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.055699268556555805,0.9740835000120569,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.08883864223323189,1.3502360999991652,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.07996802090116546,2.028106200014008,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.0736874592176698,3.0092120000044815,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.07887474198023886,1.9757123999879695,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.1054846468275579,1.2914400000008754,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.09098255480221804,2.8493921000044793,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.07435646172835902,2.104360199999064,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.08107057476680465,2.9100832999974955,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.0760226273898852,1.3819404999958351,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.08153808439089397,1.9551954999915324,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.10909782576423495,1.2541770999960136,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.08232200630783319,2.383537299989257,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.0759950342775396,0.7700297000119463,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.0868778173842725,0.9118032999977004,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.11105983779635537,1.2647530999965966,False
