trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.18562148812036014,5.307409600005485,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.1990432804926845,4.648964599997271,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.18584619622353088,5.561964399996214,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.2280966550010168,4.498917299992172,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.2064745428488004,3.499399899999844,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.21073421939261675,10.666038299998036,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.14806149566199797,4.988911799999187,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.16062897106142676,3.547742199996719,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.1900996061542706,5.685266499989666,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.224381660494341,4.808588900021277,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.2018085066335922,6.106586899986723,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.1628638002481737,5.125393100024667,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.15360722483263511,3.963961000001291,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.22434926292724225,10.686042100016493,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.12357128486939804,5.463997199985897,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.21084971782382378,5.752694499999052,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.223270399756912,9.00773380001192,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.2320806991494627,17.856162700016284,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.19590674506989278,13.650902299996233,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.14398155334677346,8.17375479999464,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.21027262218259374,16.036789099976886,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.23586231872934207,10.42516259997501,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.21908172060848627,14.145912899984978,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.17106070978122925,8.136917600000743,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.20465194539214565,9.516083399998024,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.24338443893254758,6.065482500009239,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.25666188120912714,13.046529899991583,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.13276342666752913,3.7401612999965437,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.14813099369583646,5.304261700017378,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.1562104540617327,5.980491399997845,False
