trial,arch,lr,batch_size,dropout,weight_decay,val_pr_auc,epochs_run,seconds,is_spec_default
0,transformer,0.001,32,0.3,0.0,0.12012677864249541,13,154.16177979999338,True
1,transformer,0.004564399055840275,256,0.2,0.0,0.027790843085578405,6,28.83376949999365,False
2,transformer,0.00027836048114898324,256,0.1,1e-05,0.09490834893798072,15,74.52703259998816,False
3,transformer,0.0001587206606823287,256,0.2,0.001,0.051008882528863965,15,75.47750259999884,False
4,transformer,0.004344519184930514,64,0.5,1e-05,0.011288922004581444,13,80.37082339997869,False
5,transformer,0.000561379013614412,64,0.4,0.001,0.07701600017969665,15,92.3508817999973,False
6,transformer,0.0029342585157723557,256,0.3,0.0001,0.07056103203859412,13,64.82592850000947,False
7,transformer,0.0013216203701503452,32,0.4,0.0001,0.18211580057709303,15,181.66495539998868,False
8,transformer,0.00019603575358382731,32,0.4,0.001,0.054730392006283886,15,180.61761789998855,False
9,transformer,0.0001265242511922246,32,0.4,0.0,0.1396564974521644,15,179.17440879999776,False
10,transformer,0.0010916947506150927,128,0.3,0.0,0.10366602894712182,15,78.44021420000354,False
11,transformer,0.004583536214102075,64,0.3,1e-05,0.010861481484043168,13,80.92954230000032,False
12,transformer,0.00010123289633013626,128,0.4,1e-05,0.05839131432521091,15,81.19426889999886,False
13,transformer,0.0028744152094248555,64,0.3,0.0,0.01855110168436965,7,43.82364509999752,False
14,transformer,0.0036857321257003583,128,0.4,0.0,0.016353767814410045,6,32.32785830000648,False
15,transformer,0.004850859181621986,64,0.1,0.001,0.054559028591785554,13,78.91819530000794,False
16,transformer,0.00014047909631078305,256,0.5,1e-05,0.056865478181881056,15,72.7936192000052,False
17,transformer,0.002561107362345826,256,0.2,0.001,0.06106818130045269,8,38.91174169999431,False
18,transformer,0.004559345162620435,256,0.2,0.001,0.06466795563101571,9,43.32217900000978,False
19,transformer,0.0005789256376730224,256,0.2,0.001,0.05484197698061077,9,43.369546300004004,False
20,transformer,0.0001434213093560108,64,0.4,0.0,0.11468883147826092,15,89.54848850000417,False
21,transformer,0.0008158492931137243,32,0.4,0.0,0.13607185175103984,15,179.3154297999863,False
22,transformer,0.0003303974174112225,64,0.4,0.001,0.07808603555289804,15,90.9370079000073,False
23,transformer,0.0018879216212602324,64,0.3,0.0,0.04301468605858573,11,66.09446999998181,False
24,transformer,0.0018535552712323172,64,0.2,0.001,0.061062725956286604,15,90.51637189998291,False
25,transformer,0.00031524655077433536,32,0.4,0.0001,0.1790547585168476,15,184.24332350000623,False
26,transformer,0.0032146534419750924,256,0.2,0.0,0.051872553000553365,7,32.103051200014306,False
27,transformer,0.0007426875391598964,128,0.4,0.0001,0.09768452149492345,15,77.35174789998564,False
28,transformer,0.0005863517713207004,64,0.2,0.0001,0.14128087860641558,15,90.9920671999862,False
29,transformer,0.004782560454855146,256,0.1,0.0001,0.028010599156526816,6,29.24599500000477,False
